,date,label,player_matchName,player_position,minsPlayed
160,2025-07-19,Horsens vs Aarhus Fremad,M. Delač,Goalkeeper,90
161,2025-07-19,Horsens vs Aarhus Fremad,F. Roslyng,Defender,80
162,2025-07-19,Horsens vs Aarhus Fremad,O. Kolskogen,Defender,90
163,2025-07-19,Horsens vs Aarhus Fremad,S. Hausner,Defender,90
164,2025-07-19,Horsens vs Aarhus Fremad,I. Miličević,Midfielder,77
165,2025-07-19,Horsens vs Aarhus Fremad,A. Moro,Midfielder,77
166,2025-07-19,Horsens vs Aarhus Fremad,P. Olsen,Midfielder,90
167,2025-07-19,Horsens vs Aarhus Fremad,S. Doua,Midfielder,90
168,2025-07-19,Horsens vs Aarhus Fremad,K. Kirkegaard,Striker,66
169,2025-07-19,Horsens vs Aarhus Fremad,S. Pingel,Striker,77
170,2025-07-19,Horsens vs Aarhus Fremad,F. Brandhof,Striker,90
171,2025-07-19,Horsens vs Aarhus Fremad,J. Batigi,Substitute,NaN
172,2025-07-19,Horsens vs Aarhus Fremad,G. Guðmundsson,Substitute,13
173,2025-07-19,Horsens vs Aarhus Fremad,A. Herdonsson,Substitute,NaN
174,2025-07-19,Horsens vs Aarhus Fremad,F. Christensen,Substitute,13
175,2025-07-19,Horsens vs Aarhus Fremad,A. Ludwig,Substitute,10
176,2025-07-19,Horsens vs Aarhus Fremad,K. Lusavec,Substitute,NaN
177,2025-07-19,Horsens vs Aarhus Fremad,Y. Ouorou,Substitute,15
178,2025-07-19,Horsens vs Aarhus Fremad,A. Saine,Substitute,13
179,2025-07-19,Horsens vs Aarhus Fremad,F. Đukić,Substitute,NaN
280,2025-07-25,Horsens vs Kolding,M. Delač,Goalkeeper,90
281,2025-07-25,Horsens vs Kolding,F. Roslyng,Defender,64
282,2025-07-25,Horsens vs Kolding,O. Kolskogen,Defender,89
283,2025-07-25,Horsens vs Kolding,S. Hausner,Defender,84
284,2025-07-25,Horsens vs Kolding,I. Miličević,Wing Back,90
285,2025-07-25,Horsens vs Kolding,A. Saine,Wing Back,90
286,2025-07-25,Horsens vs Kolding,P. Olsen,Midfielder,90
287,2025-07-25,Horsens vs Kolding,A. Moro,Midfielder,90
288,2025-07-25,Horsens vs Kolding,F. Brandhof,Midfielder,90
289,2025-07-25,Horsens vs Kolding,K. Kirkegaard,Striker,84
290,2025-07-25,Horsens vs Kolding,S. Pingel,Striker,90
291,2025-07-25,Horsens vs Kolding,J. Batigi,Substitute,NaN
292,2025-07-25,Horsens vs Kolding,S. Doua,Substitute,1
293,2025-07-25,Horsens vs Kolding,G. Guðmundsson,Substitute,NaN
294,2025-07-25,Horsens vs Kolding,F. Christensen,Substitute,NaN
295,2025-07-25,Horsens vs Kolding,A. Ludwig,Substitute,6
296,2025-07-25,Horsens vs Kolding,K. Lusavec,Substitute,NaN
297,2025-07-25,Horsens vs Kolding,A. Hoff,Substitute,NaN
298,2025-07-25,Horsens vs Kolding,F. Sene,Substitute,6
299,2025-07-25,Horsens vs Kolding,C. Tapé,Substitute,26
