contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,17,18,20,22,24,25,26,29,56,60,61,63,64,65,72,73,74,75,76,77,78,80,81,82,83,100,102,103,108,114,133,139,146,147,153,154,214,215,230,231,233,254,321,322,324,326,327,328,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,107,16,28,79,89,101,138,273,280,281,282,323,338,472,62,86,160,468,85,120,216,217,276,121,84,87,68,21,300,136,274,19,122,275,353,390
dbl7ir1qugqz8nvp1vzn8im50,OB,2743644675,27,13,1,3,55,L. Kjerrumgaard,axyrfq1u8nwcj2ss5498u8qhg,1,86.2,40.7,2024-11-03T14:04:20.958,2024-11-03T14:08:33,1.0,"{""id"": 5338463051, ""qualifierId"": 17}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.8,9.7,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.8,47.5,NaN,NaN,0.052849773317575455,0.0,NaN,3,2,true,NaN,NaN,true,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2743645367,34,13,1,4,24,L. Deedson,5wmik73cqursg7sv3w14ue5pm,1,92.1,31.9,2024-11-03T14:04:49.992,2024-11-03T14:05:56,1.0,"{""id"": 5338443337, ""qualifierId"": 230, ""value"": ""98.8""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.8,15.3,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.8,45.8,NaN,NaN,0.03960038349032402,0.0,NaN,2,2,true,NaN,NaN,true,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2743653489,78,16,1,9,17,M. Ejdum,2z8u8kyv91shp0la8alkn6kus,1,79.6,57.3,2024-11-03T14:09:42.406,2024-11-05T15:29:28,1.0,"{""id"": 5343933121, ""qualifierId"": 396, ""value"": ""53.4""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,53.7,30.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,95.4,53.1,NaN,true,0.07479778677225113,0.27278584241867065,true,2,2,NaN,2024-11-03 14:09:41.087,09:16.070,NaN,95.4,53.4,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2743652281,115,15,1,8,38,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,85.5,56.8,2024-11-03T14:09:03.104,2024-11-03T14:10:54,1.0,"{""id"": 5338477437, ""qualifierId"": 22}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,48.9,19,NaN,NaN,NaN,NaN,89.0,54.9,NaN,NaN,NaN,true,98.8,50,67,NaN,0.09119486808776855,0.0,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2743652317,116,15,1,8,39,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,85.8,64.2,2024-11-03T14:09:04.473,2024-11-03T14:10:32,NaN,"{""id"": 5338481951, ""qualifierId"": 146, ""value"": ""91.7""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,46.8,19,NaN,NaN,NaN,NaN,91.7,59.8,NaN,NaN,NaN,true,98.9,51.3,68,NaN,0.02606593817472458,0.0,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2743652491,117,15,1,8,44,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,90.7,59.1,2024-11-03T14:09:09.705,2024-11-05T15:29:30,NaN,"{""id"": 5338478539, ""qualifierId"": 56, ""value"": ""Center""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,51.4,8.2,true,NaN,NaN,NaN,98.8,49.8,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,0.0689421221613884,0.23042461276054382,true,3,2,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2743680265,200,15,1,25,47,L. Kjerrumgaard,axyrfq1u8nwcj2ss5498u8qhg,1,85.8,39.9,2024-11-03T14:26:12.852,2024-11-03T14:27:26,1.0,"{""id"": 5338631089, ""qualifierId"": 103, ""value"": ""19""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,49.8,19,NaN,NaN,NaN,NaN,87.9,41.3,NaN,true,NaN,NaN,98.5,46.9,324,NaN,0.05399063974618912,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2743671447,245,13,1,19,56,J. Lindekilde,23sc7wc7my7wes6cuaxw1v0no,1,71.6,46.2,2024-11-03T14:20:21.031,2024-11-03T14:21:29,1.0,"{""id"": 5338579209, ""qualifierId"": 56, ""value"": ""Center""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,38.8,81.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.4,48.9,NaN,NaN,0.0228591188788414,0.0,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2743673249,257,15,1,21,8,W. Madsen,7ztdirfvd9d0x2yw1v051xzbo,1,78.8,37.4,2024-11-03T14:21:33.852,2024-11-03T14:41:55,NaN,"{""id"": 5338588955, ""qualifierId"": 18}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,48.3,19,NaN,NaN,NaN,NaN,86.4,41.3,NaN,NaN,NaN,NaN,98.5,49.3,170,NaN,0.012022469192743301,0.0,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2743696763,302,13,1,37,4,L. Owusu,e42jh6bbwn4aybdnysonrvutx,1,86.4,34.4,2024-11-03T14:37:29.262,2024-11-03T14:38:58,1.0,"{""id"": 5343997763, ""qualifierId"": 146, ""value"": ""93.3""}",6qwciawobtrn841b84n029xxw,Fredericia vs OB,1_Division,2024-11-03,DNK,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.7,4.2,NaN,NaN,NaN,NaN,93.3,46.8,true,NaN,NaN,true,99.3,47.5,NaN,NaN,0.051302626729011536,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
