team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
Hillerød,2702459853,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702460965,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471711,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702471717,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471741,3,1,0,0,1,50.0,50.0,F. Christensen,1.0,1.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,36.7,51.1,0.00002522,NaN,NaN,NaN,14.0,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702471923,3,5,0,20,1,47.2,101.1,T. Arndal,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471757,4,1,0,3,1,37.3,48.2,F. Mortensen,1.0,1.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,35.4,34.1,0.00001336,NaN,NaN,NaN,9.8,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702471939,4,1,0,34,1,50.2,101.9,L. Bøje-Larsen,2.0,2.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,73.5,95.0,0.00005276,NaN,NaN,NaN,24.9,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,true
Hobro,2702471773,5,1,0,5,1,35.4,34.1,E. Søgaard,1.0,1.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,32.1,48.6,0.0000095,NaN,NaN,NaN,10.5,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702471955,5,1,0,37,1,73.5,95.0,A. Justinussen,2.0,2.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,78.4,88.1,0.00088281,NaN,NaN,NaN,7.0,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702471959,6,3,0,38,0,76.8,80.2,T. Arndal,2.0,2.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471797,6,1,0,8,1,32.1,49.9,J. Bøge,1.0,1.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,34.8,72.2,0.0000111,NaN,NaN,NaN,15.4,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471827,7,1,0,12,1,34.8,73.4,F. Dietz,1.0,1.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,12.4,46.9,0.00000129,NaN,NaN,NaN,29.6,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472039,7,4,0,46,0,45.8,83.4,J. Witt,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471835,8,1,0,18,0,15.7,34.7,A. Søndergaard,1.0,1.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,53.5,-1.2,NaN,NaN,NaN,NaN,46.6,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472215,8,1,1,17,1,22.1,30.3,K. Enghardt,5.0,4.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,41.4,28.8,0.00003456,NaN,NaN,NaN,20.3,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471837,9,5,0,20,0,52.8,-1.1,A. Søndergaard,NaN,NaN,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472217,9,1,1,20,1,41.6,24.6,N. Schmidt,5.0,4.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,27.4,5.0,0.00000357,NaN,NaN,NaN,20.0,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471963,10,7,0,38,1,23.2,19.8,J. Bøge,3.0,3.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472219,10,49,1,21,1,27.4,5.2,S. Sharif,5.0,4.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472231,11,1,1,22,0,29.3,5.0,S. Sharif,5.0,4.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,70.4,35.1,NaN,NaN,NaN,NaN,47.8,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471967,11,49,0,39,1,29.0,42.3,F. Mortensen,3.0,3.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472345,12,1,1,40,1,49.3,33.9,N. Schmidt,7.0,6.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,50.8,18.8,0.00007333,NaN,NaN,NaN,10.4,4.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hobro,2702471973,12,1,0,39,1,29.0,42.3,F. Mortensen,3.0,3.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,33.1,40.2,0.00000815,NaN,NaN,NaN,4.5,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Hillerød,2702472347,13,49,1,41,1,48.6,20.1,T. Arndal,7.0,6.0,NaN,NaN,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
