team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,213.0,22.0,23.0,6.0,9.0,24.0,25.0,26.0,107.0
Horsens,2702425829,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702429233,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446387,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446379,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446419,3,1,0,0,1,49.9,49.8,J. Ankersen,1.0,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,27.9,60.6,0.00001019,NaN,NaN,2.8,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446461,3,1,0,9,0,25.5,77.6,J. Kudsk,NaN,NaN,NaN,NaN,Horsens vs Fredericia,2024-07-21,41.4,85.7,NaN,NaN,NaN,0.3,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446479,4,44,0,12,0,32.8,76.5,J. Jessen,NaN,NaN,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446425,4,1,0,5,1,27.9,60.6,S. Reese,1.0,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,29.1,34.6,0.00000594,NaN,NaN,4.8,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446429,5,1,0,6,0,29.1,34.6,S. Hausner,1.0,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,58.5,22.9,NaN,NaN,NaN,6.0,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446515,5,7,0,16,0,31.9,54.1,W. Madsen,3.0,2.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446593,6,1,0,22,0,19.6,14.1,A. Dahl,3.0,2.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,29.9,7.9,NaN,NaN,NaN,5.9,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446485,6,1,0,11,1,54.7,21.4,M. Kallesøe,NaN,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,62.5,26.1,0.00034882,NaN,NaN,0.4,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446649,7,7,0,25,1,27.6,17.1,O. Buch,5.0,4.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446489,7,44,0,12,1,67.2,23.5,M. Egho,2.0,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446501,8,1,0,13,1,64.4,31.8,M. Egho,2.0,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,67.8,34.9,0.00082848,NaN,NaN,0.5,NaN,NaN,NaN,,,NaN,NaN,NaN
Fredericia,2702446655,8,49,0,26,1,20.8,13.1,A. Dahl,5.0,4.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Horsens,2702446511,9,1,0,14,1,67.7,36.1,S. Pingel,2.0,1.0,NaN,NaN,Horsens vs Fredericia,2024-07-21,66.2,48.8,0.00091537,NaN,NaN,1.8,NaN,NaN,NaN,,,NaN,NaN,NaN
