contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,24,25,29,56,60,63,64,72,73,74,75,78,79,80,82,84,102,103,146,147,153,154,160,214,215,230,231,233,321,322,323,324,326,327,328,338,374,375,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,76,81,83,85,86,89,100,101,108,77,120,136,276,391,114,280,281,282,353,390,468,472,19,61,62,133,138,273,65,87,121,254,274,300,68,216,217,66,113,139
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709232247,36,13,1,2,58,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,92.1,52.7,2024-08-16T17:03:34.661,2024-08-16T17:04:48,1.0,"{""id"": 5150101667, ""qualifierId"": 22}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,45.9,83.3,NaN,NaN,NaN,true,NaN,NaN,NaN,99.0,51.1,NaN,0.09220468252897263,0.0,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709232927,53,15,1,4,26,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,87.1,54.0,2024-08-16T17:05:03.556,2024-08-19T02:29:09,1.0,"{""id"": 5150168177, ""qualifierId"": 233, ""value"": ""34""}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,51.0,24.1,98.6,50.7,NaN,true,true,NaN,NaN,NaN,NaN,34,0.040201734751462936,0.04326143115758896,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709234083,73,16,1,6,26,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,94.8,50.3,2024-08-16T17:07:03.190,2024-08-19T02:29:12,1.0,"{""id"": 5150111849, ""qualifierId"": 22}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,47.4,13.9,NaN,NaN,NaN,true,NaN,true,NaN,98.2,50.2,NaN,0.4253637194633484,0.8495401740074158,NaN,NaN,3,1,true,NaN,2024-08-16 18:07:02.691,06:26.102,98.4,51.3,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709237025,110,15,1,12,6,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,90.8,49.3,2024-08-16T17:12:43.166,2024-08-19T03:29:16,1.0,"{""id"": 5159536715, ""qualifierId"": 80}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,48.1,7.0,99.3,50.4,NaN,true,NaN,true,NaN,NaN,NaN,94,0.09051286429166794,0.22751067578792572,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709239039,133,13,1,15,46,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,88.1,45.2,2024-08-16T17:16:23.533,2024-08-16T17:17:35,1.0,"{""id"": 4611686018466289261, ""qualifierId"": 322, ""value"": ""0.0""}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,30.3,2.8,NaN,NaN,NaN,true,NaN,NaN,NaN,99.0,49.6,NaN,0.015438339672982693,0.0,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2709241439,171,13,1,20,23,S. Hausner,5lu7bn7uec3zjqpoi1x81gbu1,1,91.1,46.0,2024-08-16T17:20:59.634,2024-08-16T17:23:46,NaN,"{""id"": 5150153205, ""qualifierId"": 17}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.3,4.2,92.5,75.5,true,NaN,true,NaN,NaN,98.9,50.7,NaN,0.06578712165355682,0.0,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2709243897,234,13,1,25,7,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,89.9,51.3,2024-08-16T17:25:43.673,2024-08-16T17:27:05,1.0,"{""id"": 5150168615, ""qualifierId"": 231, ""value"": ""49.5""}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,0.3,5.6,96.8,4.9,true,true,NaN,NaN,NaN,98.4,49.5,NaN,0.1214689090847969,0.0,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709250049,310,15,1,37,16,S. Jalal,ekx0wotp433tuaw4g93nybjmc,1,79.1,32.1,2024-08-16T17:37:52.667,2024-08-16T17:39:03,1.0,"{""id"": 5150202585, ""qualifierId"": 322, ""value"": ""0.014054425992071629""}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.4,6.3,98.1,49.8,NaN,NaN,NaN,NaN,true,NaN,NaN,376,0.025319064036011696,0.014054425992071629,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709261193,435,15,2,47,32,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,86.6,68.2,2024-08-16T18:04:33.440,2024-08-20T15:45:07,1.0,"{""id"": 4611686018466453919, ""qualifierId"": 322, ""value"": ""0.0""}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,49.3,19,88.1,66.1,NaN,NaN,NaN,NaN,true,98.2,50.9,1009,0.024535570293664932,0.0,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2709285731,644,15,2,71,2,M. Sarr,9618hk1lq7i6see347k7plkyy,1,92.1,46.6,2024-08-16T18:28:03.366,2024-08-20T17:31:42,1.0,"{""id"": 5150403657, ""qualifierId"": 322, ""value"": ""0.24391402304172516""}",63k0w54ygz5bip8a709rpfpxw,Horsens vs Kolding,2024-08-16,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,49.5,5.7,94.6,47.8,NaN,true,NaN,true,NaN,NaN,NaN,766,0.3518834710121155,0.24391402304172516,NaN,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
