team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,213.0,22.0,23.0,6.0,9.0,24.0,25.0,26.0,107.0
Hvidovre,2701836593,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701835973,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701841689,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841685,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841703,3,1,0,1,1,49.7,50.3,S. Makienok,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,40.0,55.4,0.00003475,NaN,NaN,2.8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701841823,3,83,0,28,0,68.3,34.9,M. Jakobsen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701841927,4,74,0,42,1,7.0,68.0,H. Bonnesen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841717,4,1,0,3,1,40.9,59.0,C. Jakobsen,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,37.2,49.1,0.00001917,NaN,NaN,4.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841737,5,1,0,5,1,36.9,47.8,M. Kaalund,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,23.3,36.4,0.00000371,NaN,NaN,3.6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701841931,5,6,0,43,0,2.8,72.3,H. Bonnesen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842143,6,5,1,44,1,18.7,-1.6,H. Bonnesen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841751,6,1,0,8,1,23.2,31.6,M. Olsen,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,29.7,7.9,0.00000325,NaN,NaN,5.1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842159,7,1,1,56,1,18.0,-1.0,E. Villumsen,3.0,2.0,NaN,,Hvidovre vs HB Køge,2024-07-19,40.7,5.6,0.00000155,NaN,NaN,0.2,NaN,NaN,NaN,NaN,,NaN,NaN,true
Hvidovre,2701841757,7,1,0,11,1,38.5,5.8,M. Fredslund,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,63.4,6.8,0.00014436,NaN,NaN,0.0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842171,8,1,2,0,1,40.7,5.6,J. Arias,3.0,2.0,NaN,,Hvidovre vs HB Køge,2024-07-19,48.9,4.6,0.00002402,NaN,NaN,6.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841763,8,1,0,13,1,62.5,5.3,L. Qamili,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,38.0,4.3,0.00001577,NaN,NaN,3.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842185,9,1,2,2,1,52.5,6.8,C. Jensen,3.0,2.0,NaN,,Hvidovre vs HB Køge,2024-07-19,60.5,11.9,0.00013873,NaN,NaN,0.4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841781,9,1,0,16,1,38.9,5.2,M. Fredslund,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,28.3,22.8,0.00000484,NaN,NaN,2.3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841793,10,1,0,20,1,25.3,25.2,M. Olsen,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,8.8,49.0,0.00000062,NaN,NaN,2.4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842223,10,1,2,5,1,64.8,15.1,I. Dorgu,3.0,2.0,NaN,,Hvidovre vs HB Køge,2024-07-19,68.6,76.8,0.00142555,NaN,NaN,1.5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842227,11,4,2,11,1,74.3,81.8,J. Rothmann,3.0,2.0,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841805,11,1,0,23,1,9.0,59.4,F. Đukić,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,22.9,96.5,0.00000127,NaN,NaN,1.0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842381,12,13,2,47,1,73.3,82.2,M. Jensen,4.0,2.0,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,0.035221491008996964,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,true,NaN
Hvidovre,2701841845,12,1,0,26,1,25.6,94.4,A. Iljazovski,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,32.9,74.2,0.00000658,NaN,NaN,5.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841851,13,1,0,31,1,29.6,50.3,C. Jakobsen,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,22.8,27.0,0.0000027,NaN,NaN,4.3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842385,13,5,2,48,0,100.8,46.0,M. Jensen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842627,14,12,3,30,1,8.5,35.3,M. Gudmann,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,14.3,30.8,NaN,NaN,NaN,5.8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841879,14,1,0,32,1,24.7,22.8,M. Olsen,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,33.2,3.5,0.00000403,NaN,NaN,5.3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841907,15,1,0,36,1,56.1,7.1,M. Fredslund,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,82.9,7.4,0.00091561,NaN,NaN,0.0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842667,15,12,3,33,1,15.8,28.0,C. Jensen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,37.4,26.8,NaN,NaN,NaN,6.2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842675,16,61,3,35,1,40.6,29.9,I. Dorgu,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841911,16,1,0,42,0,94.0,29.5,L. Qamili,1.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,93.4,31.2,NaN,NaN,NaN,2.1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701841919,17,6,0,43,1,97.2,27.7,L. Qamili,NaN,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842689,17,49,3,37,1,38.9,23.5,J. Arias,6.0,4.0,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842697,18,1,3,38,0,38.6,19.6,J. Arias,6.0,4.0,NaN,,Hvidovre vs HB Køge,2024-07-19,35.8,-1.3,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701842091,18,1,1,37,1,99.5,0.5,A. Smed,2.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,92.1,51.8,0.07442297,NaN,NaN,1.8,NaN,NaN,true,NaN,,NaN,NaN,NaN
HB Køge,2701842699,19,5,3,39,0,33.0,-1.2,J. Arias,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701842093,19,43,1,41,1,0.0,0.0,D. Stenderup,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701842101,20,61,1,43,0,89.4,50.7,D. Stenderup,2.0,1.0,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842811,20,83,4,2,0,33.5,10.6,C. Jensen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842845,21,5,4,4,1,15.6,-1.2,C. Jensen,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
Hvidovre,2701842105,21,5,1,44,0,81.3,101.6,D. Stenderup,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
HB Køge,2701842899,22,1,4,10,1,18.9,-1.3,E. Villumsen,8.0,6.0,NaN,,Hvidovre vs HB Køge,2024-07-19,34.1,5.0,0.00000084,NaN,NaN,0.3,NaN,NaN,NaN,NaN,,NaN,NaN,true
Hvidovre,2701842229,22,4,2,11,0,25.7,18.2,M. Fredslund,NaN,NaN,NaN,,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
