team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
OB,2707266659,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707266433,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707315995,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316005,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316039,3,1,0,1,1,50.0,50.0,M. Etim,1.0,1.0,NaN,NaN,OB vs Hillerød,2024-08-10,26.7,49.3,0.00000927,NaN,NaN,NaN,24.5,3.2,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316103,3,44,0,9,1,27.3,22.3,B. Paulsen,2.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316057,4,1,0,3,1,26.7,49.3,J. Witt,1.0,1.0,NaN,NaN,OB vs Hillerød,2024-08-10,28.0,70.5,0.00000453,NaN,NaN,NaN,14.5,1.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316119,4,1,0,10,1,31.7,30.9,B. Paulsen,2.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,39.3,12.6,0.00001042,NaN,NaN,NaN,14.8,5.3,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316141,5,1,0,12,0,39.3,12.6,J. Bonde,2.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,71.1,34.5,NaN,NaN,NaN,NaN,36.6,0.4,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316079,5,1,0,4,1,28.0,70.5,R. Møller,1.0,1.0,NaN,NaN,OB vs Hillerød,2024-08-10,36.6,94.4,0.00000713,NaN,NaN,NaN,18.6,1.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316113,6,1,0,7,0,39.5,95.1,L. Bøje-Larsen,1.0,1.0,NaN,NaN,OB vs Hillerød,2024-08-10,75.3,80.2,NaN,NaN,NaN,NaN,38.9,6.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316167,6,49,0,15,1,64.8,54.8,M. Fenger,3.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316215,7,1,0,17,1,67.6,49.7,L. Kjerrumgaard,3.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,64.3,71.8,0.00089342,NaN,NaN,NaN,15.4,1.8,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316117,7,44,0,9,0,72.7,77.7,A. Justinussen,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316235,8,3,0,24,1,74.9,87.8,N. Mickelson,3.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316163,8,1,0,14,0,35.4,76.6,R. Møller,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,41.3,67.6,NaN,NaN,NaN,NaN,8.7,5.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316165,9,43,0,16,1,0.0,0.0,M. Due Grandt,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,32.3,60.5,NaN,NaN,NaN,NaN,9.1,3.8,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316255,9,1,0,26,0,82.7,84.8,N. Mickelson,3.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,87.2,65.2,NaN,NaN,NaN,NaN,14.1,5.1,NaN,true,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316227,10,45,0,24,0,25.1,12.2,T. Arndal,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316259,10,6,0,28,1,95.7,74.4,N. Mickelson,NaN,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316505,11,1,0,50,0,99.5,99.5,N. Mickelson,4.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,93.8,45.7,NaN,NaN,NaN,NaN,37.1,4.6,true,NaN,,NaN,,NaN,true,,NaN,NaN,,NaN
Hillerød,2707316289,11,12,0,27,1,8.7,32.8,M. Due Grandt,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,-0.7,20.0,NaN,NaN,NaN,NaN,13.2,3.9,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707316579,12,1,0,55,1,79.2,63.9,A. Manneh,5.0,2.0,NaN,NaN,OB vs Hillerød,2024-08-10,83.7,87.8,0.00267347,NaN,NaN,NaN,16.9,1.3,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316293,12,6,0,28,0,4.3,25.6,M. Due Grandt,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707316523,13,12,0,53,1,8.0,41.2,M. Etim,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,28.7,33.1,NaN,NaN,NaN,NaN,22.4,6.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
