,timeMin,timeSec,x,y,team_name,playerName,id,label,date,typeId,assist,sequence_duration,sequenceId,sequence_xG,5.0,6.0,9.0,24.0,25.0,26.0,107.0,321.0,322.0,match_state,distance to opp goal,possession_index,start_possession_distance
198,14,41,89.6,19.1,B 93,J. Voldby,2730054975,B 93 vs Esbjerg,2024-10-04,1,,8,55.0,0.0686752274632453,nan,nan,none,nan,nan,nan,nan,,,draw,32.60322069980204,1.0,32.60322069980204
199,14,42,80.0,9.2,B 93,M. Mouritz,2730054997,B 93 vs Esbjerg,2024-10-04,1,,8,55.0,0.0686752274632453,nan,nan,none,nan,nan,nan,nan,,,draw,45.43830982772136,2.0,32.60322069980204
200,14,45,83.8,25.1,B 93,O. Jakobsen,2730055037,B 93 vs Esbjerg,2024-10-04,3,,8,55.0,0.0686752274632453,nan,nan,none,nan,nan,nan,nan,,,draw,29.706059987820666,3.0,32.60322069980204
201,14,49,84.2,34.5,B 93,O. Jakobsen,2730055039,B 93 vs Esbjerg,2024-10-04,13,,8,55.0,0.0686752274632453,nan,nan,none,nan,nan,nan,nan,0.0686752274632453,0.0,draw,22.13345883498555,4.0,32.60322069980204
223,16,45,60.2,19.2,Esbjerg,Y. Bourhane,2730056229,B 93 vs Esbjerg,2024-10-04,7,,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,,,draw,50.32573894142042,1.0,50.32573894142042
224,16,47,60.9,24.2,Esbjerg,Y. Bourhane,2730056275,B 93 vs Esbjerg,2024-10-04,1,,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,,,draw,46.84495703915204,2.0,50.32573894142042
225,16,50,91.1,22.4,Esbjerg,L. From,2730056293,B 93 vs Esbjerg,2024-10-04,1,1.0,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,,,draw,28.999482754007875,3.0,50.32573894142042
226,16,51,93.1,51.2,Esbjerg,L. Montano,2730056297,B 93 vs Esbjerg,2024-10-04,16,,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,0.2579378485679626,0.7479685544967651,draw,7.003570517957257,4.0,50.32573894142042
333,26,45,92.9,45.1,Esbjerg,Y. Bourhane,2730060357,B 93 vs Esbjerg,2024-10-04,16,,0,92.0,0.2073721885681152,nan,nan,none,nan,nan,nan,nan,0.2073721885681152,0.329316645860672,Esbjerg,8.626702730475873,1.0,8.626702730475873
413,33,27,82.6,44.2,B 93,O. Jakobsen,2730063201,B 93 vs Esbjerg,2024-10-04,15,,0,114.0,0.0477276593446731,nan,nan,none,nan,nan,nan,nan,0.0477276593446731,0.0,Esbjerg,18.341210428976606,1.0,18.341210428976606
437,36,37,75.0,57.2,B 93,O. Jakobsen,2730065539,B 93 vs Esbjerg,2024-10-04,3,,2,122.0,0.0569521002471447,nan,nan,none,nan,nan,nan,nan,,,Esbjerg,26.0161488310626,1.0,26.0161488310626
438,36,39,79.3,58.7,B 93,O. Jakobsen,2730065543,B 93 vs Esbjerg,2024-10-04,15,,2,122.0,0.0569521002471447,nan,nan,none,nan,nan,nan,nan,0.0569521002471447,0.0,Esbjerg,22.45395288139708,2.0,26.0161488310626
468,39,34,71.5,10.3,B 93,L. Henriksen,2730067483,B 93 vs Esbjerg,2024-10-04,1,,7,134.0,0.0181773155927658,nan,nan,none,nan,nan,nan,nan,,,Esbjerg,48.87064558607754,1.0,48.87064558607754
469,39,36,74.7,42.5,B 93,O. Addo,2730067509,B 93 vs Esbjerg,2024-10-04,1,,7,134.0,0.0181773155927658,nan,nan,none,nan,nan,nan,nan,,,Esbjerg,26.388254963146007,2.0,48.87064558607754
470,39,37,86.5,66.7,B 93,G. Højbjerg,2730067575,B 93 vs Esbjerg,2024-10-04,1,,7,134.0,0.0181773155927658,nan,nan,none,nan,nan,nan,nan,,,Esbjerg,21.474170531128788,3.0,48.87064558607754
471,39,41,77.8,34.3,B 93,L. Henriksen,2730067579,B 93 vs Esbjerg,2024-10-04,13,,7,134.0,0.0181773155927658,nan,nan,none,nan,nan,nan,nan,0.0181773155927658,0.0,Esbjerg,27.190623383806415,4.0,48.87064558607754
490,42,26,63.5,29.8,Esbjerg,N. Strunck,2730069337,B 93 vs Esbjerg,2024-10-04,8,,2,142.0,0.1511465609073639,nan,nan,none,nan,nan,nan,nan,,,Esbjerg,41.71678319333839,1.0,41.71678319333839
491,42,28,88.9,40.9,Esbjerg,L. From,2730069359,B 93 vs Esbjerg,2024-10-04,15,,2,142.0,0.1511465609073639,nan,nan,none,nan,nan,nan,nan,0.1511465609073639,0.3614245653152466,Esbjerg,14.353396810511438,2.0,41.71678319333839
