Team,High Speed Running Count,High Speed Running Distance,Sprinting Count,Sprinting Distance,Total Distance,Rank_High Speed Running Count,Rank_High Speed Running Distance,Rank_Sprinting Count,Rank_Sprinting Distance,Rank_Total Distance
AC Horsens,746,6804.33,172,2610.76,116193.29,9,9,9,8,7
Boldklubben af 1893,999,8827.72,236,3484.25,123076.4,1,1,3,3,1
Esbjerg fB,982,8516.45,258,4241.73,119305.08,3,2,1,1,3
FC Fredericia,785,7093.54,176,2571.84,116561.03,7,6,8,9,6
FC Roskilde,805,6986.32,195,2747.15,115051.87,6,7,6,7,8
HB Koge,784,6962.56,189,2868.34,111167.56,8,8,7,6,11
Hillerod Fodbold,654,5937.79,133,1942.23,114686.85,12,12,12,12,9
Hobro IK,992,8321.47,247,3707.59,119878.82,2,3,2,2,2
Hvidovre IF,707,6469.61,155,2161.71,110690.18,10,10,10,11,12
Kolding IF,922,7715.25,228,3170.33,119208.66,4,5,4,4,4
Odense Boldklub,688,6442.62,150,2316.7,114010.73,11,11,11,10,10
Vendsyssel FF,855,7715.27,198,2959.75,117164.48,5,4,5,5,5
