Player,Metric,per 90
Abdoulie Njai,High Speed Running Count,109.89
Abdoulie Njai,High Speed Running Distance,889.14
Abdoulie Njai,Jogging Count,519.63
Abdoulie Njai,Jogging Distance,3818.5
Abdoulie Njai,Low Speed Running Count,260.36
Abdoulie Njai,Low Speed Running Distance,1664.82
Abdoulie Njai,Sprinting Count,39.36
Abdoulie Njai,Sprinting Distance,474.3
Abdoulie Njai,Total Distance,9694.13
Abdoulie Njai,Walking Count,346.52
Abdoulie Njai,Walking Distance,2954.56
Adam Ahmad,High Speed Running Count,117.84
Adam Ahmad,High Speed Running Distance,1016.02
Adam Ahmad,Jogging Count,480.08
Adam Ahmad,Jogging Distance,3933.98
Adam Ahmad,Low Speed Running Count,270.66
Adam Ahmad,Low Speed Running Distance,1877.15
Adam Ahmad,Sprinting Count,41.66
Adam Ahmad,Sprinting Distance,516.43
Adam Ahmad,Total Distance,9525.21
Adam Ahmad,Walking Count,305.47
Adam Ahmad,Walking Distance,2577.23
Adam Herdonsson,High Speed Running Count,62.33
Adam Herdonsson,High Speed Running Distance,563.69
Adam Herdonsson,Jogging Count,507.31
Adam Herdonsson,Jogging Distance,4831.29
Adam Herdonsson,Low Speed Running Count,216.98
Adam Herdonsson,Low Speed Running Distance,1797.02
Adam Herdonsson,Sprinting Count,31.77
Adam Herdonsson,Sprinting Distance,346.21
Adam Herdonsson,Total Distance,9882.11
Adam Herdonsson,Walking Count,366.04
Adam Herdonsson,Walking Distance,2664.47
Adrian Justinussen,High Speed Running Count,71.49
Adrian Justinussen,High Speed Running Distance,628.01
Adrian Justinussen,Jogging Count,483.67
Adrian Justinussen,Jogging Distance,4459.35
Adrian Justinussen,Low Speed Running Count,202.06
Adrian Justinussen,Low Speed Running Distance,1495.29
Adrian Justinussen,Sprinting Count,25.48
Adrian Justinussen,Sprinting Distance,296.71
Adrian Justinussen,Total Distance,9574.43
Adrian Justinussen,Walking Count,351.56
Adrian Justinussen,Walking Distance,2864.29
Adrian Kappenberger,High Speed Running Count,19.5
Adrian Kappenberger,High Speed Running Distance,56.45
Adrian Kappenberger,Jogging Count,142.43
Adrian Kappenberger,Jogging Distance,935.13
Adrian Kappenberger,Low Speed Running Count,28.15
Adrian Kappenberger,Low Speed Running Distance,169.7
Adrian Kappenberger,Sprinting Count,18.0
Adrian Kappenberger,Sprinting Distance,43.09
Adrian Kappenberger,Total Distance,4041.55
Adrian Kappenberger,Walking Count,111.82
Adrian Kappenberger,Walking Distance,3021.61
Agon Mucolli,High Speed Running Count,73.83
Agon Mucolli,High Speed Running Distance,661.35
Agon Mucolli,Jogging Count,439.79
Agon Mucolli,Jogging Distance,4302.24
Agon Mucolli,Low Speed Running Count,195.86
Agon Mucolli,Low Speed Running Distance,1438.81
Agon Mucolli,Sprinting Count,29.62
Agon Mucolli,Sprinting Distance,352.07
Agon Mucolli,Total Distance,9464.17
Agon Mucolli,Walking Count,318.4
Agon Mucolli,Walking Distance,2859.77
Ahmed Iljazovski,High Speed Running Count,67.78
Ahmed Iljazovski,High Speed Running Distance,643.95
Ahmed Iljazovski,Jogging Count,455.96
Ahmed Iljazovski,Jogging Distance,4321.5
Ahmed Iljazovski,Low Speed Running Count,195.02
Ahmed Iljazovski,Low Speed Running Distance,1397.93
Ahmed Iljazovski,Sprinting Count,25.97
Ahmed Iljazovski,Sprinting Distance,322.52
Ahmed Iljazovski,Total Distance,9178.29
Ahmed Iljazovski,Walking Count,328.03
Ahmed Iljazovski,Walking Distance,2732.12
Alasana Manneh,High Speed Running Count,51.5
Alasana Manneh,High Speed Running Distance,498.68
Alasana Manneh,Jogging Count,456.1
Alasana Manneh,Jogging Distance,4458.89
Alasana Manneh,Low Speed Running Count,181.95
Alasana Manneh,Low Speed Running Distance,1611.89
Alasana Manneh,Sprinting Count,22.5
Alasana Manneh,Sprinting Distance,229.95
Alasana Manneh,Total Distance,9380.23
Alasana Manneh,Walking Count,331.81
Alasana Manneh,Walking Distance,2818.83
Albert Norager,High Speed Running Count,52.61
Albert Norager,High Speed Running Distance,414.27
Albert Norager,Jogging Count,462.24
Albert Norager,Jogging Distance,4094.1
Albert Norager,Low Speed Running Count,159.52
Albert Norager,Low Speed Running Distance,1139.81
Albert Norager,Sprinting Count,23.7
Albert Norager,Sprinting Distance,243.87
Albert Norager,Total Distance,8750.5
Albert Norager,Walking Count,348.38
Albert Norager,Walking Distance,3001.9
Alessio Alicino,High Speed Running Count,72.76
Alessio Alicino,High Speed Running Distance,688.82
Alessio Alicino,Jogging Count,481.65
Alessio Alicino,Jogging Distance,4900.43
Alessio Alicino,Low Speed Running Count,233.76
Alessio Alicino,Low Speed Running Distance,2008.45
Alessio Alicino,Sprinting Count,25.84
Alessio Alicino,Sprinting Distance,279.12
Alessio Alicino,Total Distance,9558.34
Alessio Alicino,Walking Count,345.71
Alessio Alicino,Walking Distance,2038.46
Alexander Ludwig,High Speed Running Count,51.75
Alexander Ludwig,High Speed Running Distance,528.62
Alexander Ludwig,Jogging Count,410.86
Alexander Ludwig,Jogging Distance,3709.74
Alexander Ludwig,Low Speed Running Count,147.3
Alexander Ludwig,Low Speed Running Distance,1087.55
Alexander Ludwig,Sprinting Count,27.0
Alexander Ludwig,Sprinting Distance,214.46
Alexander Ludwig,Total Distance,8172.34
Alexander Ludwig,Walking Count,310.83
Alexander Ludwig,Walking Distance,2770.74
Alfred Gothler,High Speed Running Count,110.77
Alfred Gothler,High Speed Running Distance,791.53
Alfred Gothler,Jogging Count,491.85
Alfred Gothler,Jogging Distance,4029.11
Alfred Gothler,Low Speed Running Count,229.35
Alfred Gothler,Low Speed Running Distance,1497.56
Alfred Gothler,Sprinting Count,40.05
Alfred Gothler,Sprinting Distance,820.16
Alfred Gothler,Total Distance,9083.98
Alfred Gothler,Walking Count,331.8
Alfred Gothler,Walking Distance,2758.3
Anders Dahl,High Speed Running Count,81.89
Anders Dahl,High Speed Running Distance,741.75
Anders Dahl,Jogging Count,504.62
Anders Dahl,Jogging Distance,4505.61
Anders Dahl,Low Speed Running Count,219.66
Anders Dahl,Low Speed Running Distance,1647.42
Anders Dahl,Sprinting Count,31.95
Anders Dahl,Sprinting Distance,426.44
Anders Dahl,Total Distance,10067.15
Anders Dahl,Walking Count,371.42
Anders Dahl,Walking Distance,2884.75
Andreas Heimer Hansen,High Speed Running Count,60.0
Andreas Heimer Hansen,High Speed Running Distance,538.38
Andreas Heimer Hansen,Jogging Count,492.0
Andreas Heimer Hansen,Jogging Distance,5517.36
Andreas Heimer Hansen,Low Speed Running Count,282.0
Andreas Heimer Hansen,Low Speed Running Distance,2548.08
Andreas Heimer Hansen,Sprinting Count,54.0
Andreas Heimer Hansen,Sprinting Distance,292.95
Andreas Heimer Hansen,Total Distance,10692.42
Andreas Heimer Hansen,Walking Count,348.0
Andreas Heimer Hansen,Walking Distance,1893.36
Andreas Maarup Hansen,High Speed Running Count,73.98
Andreas Maarup Hansen,High Speed Running Distance,591.15
Andreas Maarup Hansen,Jogging Count,581.34
Andreas Maarup Hansen,Jogging Distance,4773.26
Andreas Maarup Hansen,Low Speed Running Count,228.93
Andreas Maarup Hansen,Low Speed Running Distance,1519.88
Andreas Maarup Hansen,Sprinting Count,25.08
Andreas Maarup Hansen,Sprinting Distance,232.56
Andreas Maarup Hansen,Total Distance,10031.22
Andreas Maarup Hansen,Walking Count,421.96
Andreas Maarup Hansen,Walking Distance,2988.46
Andreas Sejr Lausen,High Speed Running Count,114.79
Andreas Sejr Lausen,High Speed Running Distance,918.98
Andreas Sejr Lausen,Jogging Count,553.77
Andreas Sejr Lausen,Jogging Distance,4399.32
Andreas Sejr Lausen,Low Speed Running Count,268.23
Andreas Sejr Lausen,Low Speed Running Distance,1818.38
Andreas Sejr Lausen,Sprinting Count,41.32
Andreas Sejr Lausen,Sprinting Distance,656.7
Andreas Sejr Lausen,Total Distance,10302.01
Andreas Sejr Lausen,Walking Count,381.68
Andreas Sejr Lausen,Walking Distance,2664.76
Andreas Smed,High Speed Running Count,90.58
Andreas Smed,High Speed Running Distance,823.33
Andreas Smed,Jogging Count,475.87
Andreas Smed,Jogging Distance,4436.65
Andreas Smed,Low Speed Running Count,239.94
Andreas Smed,Low Speed Running Distance,1756.63
Andreas Smed,Sprinting Count,31.7
Andreas Smed,Sprinting Distance,391.33
Andreas Smed,Total Distance,10171.27
Andreas Smed,Walking Count,318.89
Andreas Smed,Walking Distance,2907.57
Andreas Sondergaard,High Speed Running Count,19.32
Andreas Sondergaard,High Speed Running Distance,89.21
Andreas Sondergaard,Jogging Count,122.23
Andreas Sondergaard,Jogging Distance,619.14
Andreas Sondergaard,Low Speed Running Count,28.55
Andreas Sondergaard,Low Speed Running Distance,96.91
Andreas Sondergaard,Sprinting Count,18.0
Andreas Sondergaard,Sprinting Distance,70.54
Andreas Sondergaard,Total Distance,3600.66
Andreas Sondergaard,Walking Count,85.52
Andreas Sondergaard,Walking Distance,2900.47
Andreas Troelsen,High Speed Running Count,84.32
Andreas Troelsen,High Speed Running Distance,647.98
Andreas Troelsen,Jogging Count,482.08
Andreas Troelsen,Jogging Distance,4281.59
Andreas Troelsen,Low Speed Running Count,210.41
Andreas Troelsen,Low Speed Running Distance,1509.46
Andreas Troelsen,Sprinting Count,25.41
Andreas Troelsen,Sprinting Distance,315.2
Andreas Troelsen,Total Distance,8807.31
Andreas Troelsen,Walking Count,354.65
Andreas Troelsen,Walking Distance,2511.78
Anton Ekeroth,High Speed Running Count,110.38
Anton Ekeroth,High Speed Running Distance,777.52
Anton Ekeroth,Jogging Count,565.36
Anton Ekeroth,Jogging Distance,4378.3
Anton Ekeroth,Low Speed Running Count,262.5
Anton Ekeroth,Low Speed Running Distance,1708.2
Anton Ekeroth,Minute Splits,900.0
Anton Ekeroth,Sprinting Count,43.8
Anton Ekeroth,Sprinting Distance,737.92
Anton Ekeroth,Total Distance,9712.13
Anton Ekeroth,Walking Count,399.07
Anton Ekeroth,Walking Distance,2382.67
Ari Leifsson,High Speed Running Count,52.17
Ari Leifsson,High Speed Running Distance,418.17
Ari Leifsson,Jogging Count,495.91
Ari Leifsson,Jogging Distance,4599.63
Ari Leifsson,Low Speed Running Count,165.27
Ari Leifsson,Low Speed Running Distance,1166.33
Ari Leifsson,Sprinting Count,23.2
Ari Leifsson,Sprinting Distance,164.12
Ari Leifsson,Total Distance,9030.24
Ari Leifsson,Walking Count,383.98
Ari Leifsson,Walking Distance,2837.72
Armann Taranis,High Speed Running Count,91.14
Armann Taranis,High Speed Running Distance,711.28
Armann Taranis,Jogging Count,448.81
Armann Taranis,Jogging Distance,3588.09
Armann Taranis,Low Speed Running Count,197.2
Armann Taranis,Low Speed Running Distance,1184.66
Armann Taranis,Sprinting Count,41.76
Armann Taranis,Sprinting Distance,459.43
Armann Taranis,Total Distance,9040.67
Armann Taranis,Walking Count,305.54
Armann Taranis,Walking Distance,3346.36
Asbjorn Bondergaard,High Speed Running Count,74.86
Asbjorn Bondergaard,High Speed Running Distance,619.81
Asbjorn Bondergaard,Jogging Count,506.15
Asbjorn Bondergaard,Jogging Distance,4397.27
Asbjorn Bondergaard,Low Speed Running Count,200.02
Asbjorn Bondergaard,Low Speed Running Distance,1356.6
Asbjorn Bondergaard,Sprinting Count,27.86
Asbjorn Bondergaard,Sprinting Distance,321.14
Asbjorn Bondergaard,Total Distance,9310.43
Asbjorn Bondergaard,Walking Count,353.87
Asbjorn Bondergaard,Walking Distance,2856.69
Asker Beck,High Speed Running Count,119.1
Asker Beck,High Speed Running Distance,1112.02
Asker Beck,Jogging Count,507.43
Asker Beck,Jogging Distance,4143.21
Asker Beck,Low Speed Running Count,296.42
Asker Beck,Low Speed Running Distance,2082.46
Asker Beck,Sprinting Count,41.67
Asker Beck,Sprinting Distance,507.45
Asker Beck,Total Distance,9996.63
Asker Beck,Walking Count,334.97
Asker Beck,Walking Distance,2231.33
Ayo Simon Okosun,High Speed Running Count,93.71
Ayo Simon Okosun,High Speed Running Distance,801.31
Ayo Simon Okosun,Jogging Count,589.68
Ayo Simon Okosun,Jogging Distance,4875.67
Ayo Simon Okosun,Low Speed Running Count,271.98
Ayo Simon Okosun,Low Speed Running Distance,2130.06
Ayo Simon Okosun,Sprinting Count,28.94
Ayo Simon Okosun,Sprinting Distance,282.58
Ayo Simon Okosun,Total Distance,10395.0
Ayo Simon Okosun,Walking Count,399.94
Ayo Simon Okosun,Walking Distance,2535.35
Benjamin Hvidt,High Speed Running Count,112.15
Benjamin Hvidt,High Speed Running Distance,1080.76
Benjamin Hvidt,Jogging Count,543.5
Benjamin Hvidt,Jogging Distance,4661.24
Benjamin Hvidt,Low Speed Running Count,296.26
Benjamin Hvidt,Low Speed Running Distance,2181.28
Benjamin Hvidt,Sprinting Count,32.84
Benjamin Hvidt,Sprinting Distance,459.4
Benjamin Hvidt,Total Distance,10639.14
Benjamin Hvidt,Walking Count,371.5
Benjamin Hvidt,Walking Distance,2478.59
Berkant Bayrak,High Speed Running Count,20.25
Berkant Bayrak,High Speed Running Distance,89.08
Berkant Bayrak,Jogging Count,197.59
Berkant Bayrak,Jogging Distance,1222.95
Berkant Bayrak,Low Speed Running Count,34.38
Berkant Bayrak,Low Speed Running Distance,182.66
Berkant Bayrak,Sprinting Count,18.0
Berkant Bayrak,Sprinting Distance,46.58
Berkant Bayrak,Total Distance,4391.37
Berkant Bayrak,Walking Count,148.02
Berkant Bayrak,Walking Distance,3015.53
Bertram Kvist,High Speed Running Count,82.8
Bertram Kvist,High Speed Running Distance,545.9
Bertram Kvist,Jogging Count,563.4
Bertram Kvist,Jogging Distance,5269.18
Bertram Kvist,Low Speed Running Count,280.8
Bertram Kvist,Low Speed Running Distance,1820.81
Bertram Kvist,Minute Splits,900.0
Bertram Kvist,Sprinting Count,30.86
Bertram Kvist,Sprinting Distance,258.76
Bertram Kvist,Total Distance,10353.31
Bertram Kvist,Walking Count,415.8
Bertram Kvist,Walking Distance,2484.43
Berzan Kucukylidiz,High Speed Running Count,55.88
Berzan Kucukylidiz,High Speed Running Distance,560.72
Berzan Kucukylidiz,Jogging Count,511.51
Berzan Kucukylidiz,Jogging Distance,5330.28
Berzan Kucukylidiz,Low Speed Running Count,255.9
Berzan Kucukylidiz,Low Speed Running Distance,2138.2
Berzan Kucukylidiz,Minute Splits,942.86
Berzan Kucukylidiz,Sprinting Count,28.25
Berzan Kucukylidiz,Sprinting Distance,124.85
Berzan Kucukylidiz,Total Distance,9870.91
Berzan Kucukylidiz,Walking Count,348.09
Berzan Kucukylidiz,Walking Distance,2289.82
Bjorn Paulsen,High Speed Running Count,41.61
Bjorn Paulsen,High Speed Running Distance,352.47
Bjorn Paulsen,Jogging Count,422.96
Bjorn Paulsen,Jogging Distance,3925.15
Bjorn Paulsen,Low Speed Running Count,126.9
Bjorn Paulsen,Low Speed Running Distance,1000.38
Bjorn Paulsen,Minute Splits,942.86
Bjorn Paulsen,Sprinting Count,20.43
Bjorn Paulsen,Sprinting Distance,211.25
Bjorn Paulsen,Total Distance,8362.67
Bjorn Paulsen,Walking Count,327.0
Bjorn Paulsen,Walking Distance,3105.4
Casper Jorgensen,High Speed Running Count,94.29
Casper Jorgensen,High Speed Running Distance,745.27
Casper Jorgensen,Jogging Count,533.97
Casper Jorgensen,Jogging Distance,5323.65
Casper Jorgensen,Low Speed Running Count,270.16
Casper Jorgensen,Low Speed Running Distance,2041.5
Casper Jorgensen,Sprinting Count,31.3
Casper Jorgensen,Sprinting Distance,407.49
Casper Jorgensen,Total Distance,10822.2
Casper Jorgensen,Walking Count,378.06
Casper Jorgensen,Walking Distance,2429.73
Christ Tape,High Speed Running Count,75.96
Christ Tape,High Speed Running Distance,688.86
Christ Tape,Jogging Count,490.04
Christ Tape,Jogging Distance,4081.69
Christ Tape,Low Speed Running Count,208.03
Christ Tape,Low Speed Running Distance,1500.71
Christ Tape,Sprinting Count,29.7
Christ Tape,Sprinting Distance,298.64
Christ Tape,Total Distance,9165.2
Christ Tape,Walking Count,353.8
Christ Tape,Walking Distance,2716.27
Christian Enemark,High Speed Running Count,92.25
Christian Enemark,High Speed Running Distance,730.6
Christian Enemark,Jogging Count,387.21
Christian Enemark,Jogging Distance,3622.35
Christian Enemark,Low Speed Running Count,210.75
Christian Enemark,Low Speed Running Distance,1728.6
Christian Enemark,Sprinting Count,39.08
Christian Enemark,Sprinting Distance,492.39
Christian Enemark,Total Distance,8566.15
Christian Enemark,Walking Count,266.46
Christian Enemark,Walking Distance,2107.19
Christian Horby,High Speed Running Count,90.0
Christian Horby,High Speed Running Distance,577.26
Christian Horby,Jogging Count,569.25
Christian Horby,Jogging Distance,4676.02
Christian Horby,Low Speed Running Count,279.0
Christian Horby,Low Speed Running Distance,1703.16
Christian Horby,Sprinting Count,27.0
Christian Horby,Sprinting Distance,300.74
Christian Horby,Total Distance,10038.46
Christian Horby,Walking Count,400.5
Christian Horby,Walking Distance,2781.23
Christian Jakobsen,High Speed Running Count,74.24
Christian Jakobsen,High Speed Running Distance,649.09
Christian Jakobsen,Jogging Count,528.21
Christian Jakobsen,Jogging Distance,4234.29
Christian Jakobsen,Low Speed Running Count,231.72
Christian Jakobsen,Low Speed Running Distance,1751.17
Christian Jakobsen,Sprinting Count,25.25
Christian Jakobsen,Sprinting Distance,256.67
Christian Jakobsen,Total Distance,9738.09
Christian Jakobsen,Walking Count,356.07
Christian Jakobsen,Walking Distance,3010.21
Christian Jensen,High Speed Running Count,79.13
Christian Jensen,High Speed Running Distance,737.25
Christian Jensen,Jogging Count,544.11
Christian Jensen,Jogging Distance,4971.27
Christian Jensen,Low Speed Running Count,248.32
Christian Jensen,Low Speed Running Distance,2187.18
Christian Jensen,Minute Splits,942.86
Christian Jensen,Sprinting Count,25.89
Christian Jensen,Sprinting Distance,302.05
Christian Jensen,Total Distance,10096.58
Christian Jensen,Walking Count,383.74
Christian Jensen,Walking Distance,2378.36
Christian Vestergaard,High Speed Running Count,64.09
Christian Vestergaard,High Speed Running Distance,580.66
Christian Vestergaard,Jogging Count,547.69
Christian Vestergaard,Jogging Distance,5092.81
Christian Vestergaard,Low Speed Running Count,217.35
Christian Vestergaard,Low Speed Running Distance,1729.64
Christian Vestergaard,Sprinting Count,24.2
Christian Vestergaard,Sprinting Distance,250.09
Christian Vestergaard,Total Distance,10070.75
Christian Vestergaard,Walking Count,397.71
Christian Vestergaard,Walking Distance,2554.52
Christoffer Palm,High Speed Running Count,143.5
Christoffer Palm,High Speed Running Distance,956.67
Christoffer Palm,Jogging Count,545.13
Christoffer Palm,Jogging Distance,4750.52
Christoffer Palm,Low Speed Running Count,312.93
Christoffer Palm,Low Speed Running Distance,2018.82
Christoffer Palm,Sprinting Count,44.04
Christoffer Palm,Sprinting Distance,557.92
Christoffer Palm,Total Distance,10192.77
