team_name,timeMin,timeSec,playerName,label,date,typeId,44.0,292.0,293.0
B 93,45,0,E. Christensen,Fredericia vs B 93,2024-09-28,18,Defender,NaN,NaN
B 93,45,0,L. Henriksen,Fredericia vs B 93,2024-09-28,19,Defender,4,4
B 93,45,0,N. Morberg,Fredericia vs B 93,2024-09-28,18,Midfielder,NaN,NaN
B 93,45,0,A. Bredahl,Fredericia vs B 93,2024-09-28,19,Midfielder,7,4
Fredericia,65,29,W. Madsen,Fredericia vs B 93,2024-09-28,18,Midfielder,NaN,NaN
Fredericia,65,29,F. Winther,Fredericia vs B 93,2024-09-28,19,Midfielder,5,4
Fredericia,65,42,J. Lindekilde,Fredericia vs B 93,2024-09-28,18,Defender,NaN,NaN
Fredericia,65,42,J. Jessen,Fredericia vs B 93,2024-09-28,19,Midfielder,5,2
B 93,66,0,N. Mouritsen,Fredericia vs B 93,2024-09-28,18,Defender,NaN,NaN
B 93,66,0,G. Højbjerg,Fredericia vs B 93,2024-09-28,19,Defender,3,1
Fredericia,73,12,A. Andersen,Fredericia vs B 93,2024-09-28,18,Defender,NaN,NaN
B 93,66,15,O. Jakobsen,Fredericia vs B 93,2024-09-28,18,Forward,NaN,NaN
Fredericia,73,12,J. Juelsgård,Fredericia vs B 93,2024-09-28,19,Midfielder,6,1
B 93,66,15,J. Voldby,Fredericia vs B 93,2024-09-28,19,Midfielder,7,5
Fredericia,73,27,O. Buch,Fredericia vs B 93,2024-09-28,18,Forward,NaN,NaN
Fredericia,73,27,E. Dall,Fredericia vs B 93,2024-09-28,19,Midfielder,6,3
Fredericia,83,22,M. Opondo,Fredericia vs B 93,2024-09-28,18,Midfielder,NaN,NaN
Fredericia,83,22,D. Haarbo,Fredericia vs B 93,2024-09-28,19,Forward,8,2
B 93,87,3,O. Addo,Fredericia vs B 93,2024-09-28,18,Forward,NaN,NaN
B 93,87,3,M. Secka,Fredericia vs B 93,2024-09-28,19,Forward,9,3
Esbjerg,55,28,L. Montano,B 93 vs Esbjerg,2024-10-04,18,Defender,NaN,NaN
Esbjerg,55,28,A. Troelsen,B 93 vs Esbjerg,2024-10-04,19,Defender,3,1
Esbjerg,68,16,Y. Bourhane,B 93 vs Esbjerg,2024-10-04,18,Midfielder,NaN,NaN
Esbjerg,68,16,M. Maden,B 93 vs Esbjerg,2024-10-04,19,Midfielder,7,3
Esbjerg,68,17,T. Freriks,B 93 vs Esbjerg,2024-10-04,18,Forward,NaN,NaN
Esbjerg,68,17,M. Ladefoged,B 93 vs Esbjerg,2024-10-04,19,Forward,8,2
Esbjerg,73,24,L. From,B 93 vs Esbjerg,2024-10-04,18,Forward,NaN,NaN
Esbjerg,73,24,P. Bjur,B 93 vs Esbjerg,2024-10-04,19,Forward,9,1
Esbjerg,73,37,N. Strunck,B 93 vs Esbjerg,2024-10-04,18,Midfielder,NaN,NaN
Esbjerg,73,37,J. Beck,B 93 vs Esbjerg,2024-10-04,19,Midfielder,6,4
B 93,62,23,J. Voldby,B 93 vs Esbjerg,2024-10-04,18,Forward,NaN,NaN
B 93,62,23,A. Bredahl,B 93 vs Esbjerg,2024-10-04,19,Forward,9,3
B 93,62,10,J. Okore,B 93 vs Esbjerg,2024-10-04,18,Defender,NaN,NaN
B 93,62,10,A. Heimer,B 93 vs Esbjerg,2024-10-04,19,Defender,4,4
B 93,74,28,O. Addo,B 93 vs Esbjerg,2024-10-04,18,Forward,NaN,NaN
B 93,74,28,M. Secka,B 93 vs Esbjerg,2024-10-04,19,Midfielder,6,1
B 93,74,35,O. Jakobsen,B 93 vs Esbjerg,2024-10-04,18,Forward,NaN,NaN
B 93,74,35,S. Koch,B 93 vs Esbjerg,2024-10-04,19,Midfielder,6,2
B 93,45,0,N. Morberg,Roskilde vs B 93,2024-07-27,18,Midfielder,NaN,NaN
B 93,45,0,M. Wohlgemuth,Roskilde vs B 93,2024-07-27,19,Midfielder,NaN,0
B 93,58,35,T. Blidegn,Roskilde vs B 93,2024-07-27,18,Midfielder,NaN,NaN
B 93,58,35,S. Clemmensen,Roskilde vs B 93,2024-07-27,19,Forward,NaN,0
Roskilde,60,30,M. Juhl,Roskilde vs B 93,2024-07-27,18,Defender,NaN,NaN
Roskilde,60,30,M. Winkel,Roskilde vs B 93,2024-07-27,19,Midfielder,NaN,0
B 93,79,22,E. Nnamani,Roskilde vs B 93,2024-07-27,18,Forward,NaN,NaN
B 93,79,22,J. Mathys,Roskilde vs B 93,2024-07-27,19,Forward,10,3
B 93,79,30,O. Addo,Roskilde vs B 93,2024-07-27,18,Forward,NaN,NaN
B 93,79,30,M. Bøttker,Roskilde vs B 93,2024-07-27,19,Midfielder,5,4
Roskilde,72,37,S. Baskaya,Roskilde vs B 93,2024-07-27,18,Midfielder,NaN,NaN
Roskilde,72,37,A. Taranis,Roskilde vs B 93,2024-07-27,19,Midfielder,6,4
