contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,19,20,22,23,24,25,26,28,29,56,63,64,72,73,74,75,76,77,78,79,80,81,82,84,85,89,102,103,108,120,122,133,138,146,147,153,154,214,215,230,231,233,274,276,280,281,282,321,322,326,327,328,374,375,391,395,396,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,9,107,60,61,83,87,113,324,353,390,62,86,100,254,323,338,121,136,160
36g6ifzjliec1jqnbtf7yesme,AaB,2829363939,52,15,1,4,4,K. John,5vrsflxiv2dgfa8199a2qxsve,1,62.5,53.6,2025-07-26T12:02:58.183,2025-07-29T11:29:32,1.0,"{""id"": 5814133493, ""qualifierId"": 22}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.8,19.6,true,NaN,NaN,NaN,NaN,89.4,50.2,NaN,NaN,NaN,true,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,0.012512663379311562,0.04748110473155975,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2829367657,138,15,1,16,20,V. Dedes,a5ixxqmfo537cvlb0a9x5n2ms,1,88.1,70.5,2025-07-26T12:15:13.772,2025-07-29T12:29:36,1.0,"{""id"": 5808693481, ""qualifierId"": 64}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.3,13.3,true,NaN,NaN,NaN,NaN,98.9,53.3,NaN,true,NaN,NaN,NaN,NaN,156,NaN,NaN,NaN,NaN,NaN,0.04489525407552719,0.05362365394830704,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2829366979,145,16,1,13,25,K. John,5vrsflxiv2dgfa8199a2qxsve,1,86.7,56.8,2025-07-26T12:12:18.918,2025-07-29T11:29:31,1.0,"{""id"": 5813332305, ""qualifierId"": 395, ""value"": ""10.6""}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,49.0,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,90.8,54.7,NaN,NaN,NaN,NaN,NaN,NaN,0.5501525402069092,0.36849743127822876,1,1,NaN,2025-07-26 13:12:18.035,13:24.503,NaN,10.6,44.4,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2829369175,201,15,1,20,38,M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,1,75.6,55.0,2025-07-26T12:19:32.464,2025-07-29T12:29:37,1.0,"{""id"": 5814163735, ""qualifierId"": 120}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,47.0,20.9,NaN,true,NaN,NaN,NaN,97.7,50.7,NaN,NaN,NaN,true,NaN,NaN,201,NaN,NaN,NaN,NaN,NaN,0.02740922011435032,0.13300301134586334,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2829372539,344,16,1,34,17,V. Dedes,a5ixxqmfo537cvlb0a9x5n2ms,1,93.1,49.9,2025-07-26T12:33:10.996,2025-07-29T13:04:08,NaN,"{""id"": 5808722227, ""qualifierId"": 20}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,49.0,29.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,98.5,48.7,NaN,NaN,NaN,NaN,NaN,NaN,0.2185702621936798,0.5588328242301941,3,2,true,2025-07-26 13:33:10.561,34:17.029,NaN,98.6,49.5,true,789,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2829374253,378,15,1,40,16,V. Møller,5521epytthhw9afm2r3jn3384,1,89.0,55.8,2025-07-26T12:39:09.948,2025-07-26T12:40:25,1.0,"{""id"": 5808731091, ""qualifierId"": 230, ""value"": ""98.5""}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,46.4,6.9,NaN,NaN,NaN,NaN,NaN,90.2,55.1,NaN,true,NaN,NaN,98.5,50.9,404,NaN,NaN,NaN,NaN,NaN,0.19756384193897247,0.0,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2829374665,384,15,1,41,40,O. Ross,5lz41celw55rz3zh8pohclw5w,1,74.1,60.3,2025-07-26T12:40:33.782,2025-07-28T11:29:15,NaN,"{""id"": 5808733767, ""qualifierId"": 458}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.8,1.9,true,NaN,NaN,true,NaN,93.3,52.3,NaN,NaN,NaN,true,NaN,NaN,423,NaN,NaN,NaN,NaN,NaN,0.015291598625481129,0.11012673377990723,1,2,true,NaN,NaN,NaN,NaN,NaN,true,438,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2829375359,398,16,1,43,28,M. Nielsen,bcdp9e3dezuaybm8ndrsanbx0,1,76.9,38.5,2025-07-26T12:42:22.310,2025-07-29T13:04:08,NaN,"{""id"": 5808737891, ""qualifierId"": 138}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.5,31.6,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,99.4,48.0,NaN,true,NaN,FREE_KICK_WON,192161,401,0.06988903135061264,0.6443693041801453,1,3,NaN,2025-07-26 13:42:20.781,43:27.249,NaN,1.8,50.9,true,NaN,397,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2829381195,494,15,2,46,55,N. Schmidt,5dlh0fa9yo6z283w9p58xmnoq,1,78.4,32.5,2025-07-26T13:03:13.557,2025-07-28T16:29:13,1.0,"{""id"": 5808901277, ""qualifierId"": 81}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,46.8,28.5,NaN,NaN,NaN,NaN,NaN,99.1,48.4,NaN,true,NaN,NaN,NaN,NaN,435,NaN,NaN,NaN,NaN,NaN,0.024343930184841156,0.1570449322462082,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2829382013,518,13,2,48,47,W. Glindtvad,559w0q3q2smb3aeotyi724s9g,1,95.7,48.9,2025-07-26T13:05:06.335,2025-07-26T13:06:20,1.0,"{""id"": 5808775319, ""qualifierId"": 327, ""value"": ""1""}",bvihobignz9mmm7itlzr049p0,Hillerød vs AaB,1_Division,2025-07-26,DNK,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.7,44.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,99.5,51.1,NaN,NaN,NaN,NaN,NaN,NaN,0.41949906945228577,0.0,3,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,
