team_name,contestantId,match_id,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828282257,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828279625,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828291771,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291767,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291777,3,1,0,0,1,50.0,50.0,F. Gytkjær,1.0,1.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,31.1,50.1,0.00001436,NaN,NaN,NaN,19.8,3.1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,2.0,0.0,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828328037,821,30,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828328039,822,37,0,0,1,88.8,11.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828328517,860,30,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828328519,861,37,0,0,1,61.1,29.4,NaN,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291785,4,1,0,2,0,31.3,50.6,T. Storm,1.0,1.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,75.3,79.6,NaN,NaN,NaN,NaN,50.2,0.4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,2.0,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828291801,3,1,0,4,0,23.8,19.2,J. Buus,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,34.3,17.3,NaN,NaN,NaN,NaN,11.1,6.2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291807,5,1,0,7,1,67.1,77.2,M. Hebo,2.0,1.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,71.6,76.7,0.00084721,NaN,NaN,NaN,4.7,6.2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,3.0,0.0,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291809,6,50,0,10,1,70.4,76.8,L. Sandgrav,2.0,1.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,3.0,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828292489,19,61,0,10,0,35.9,26.6,L. Vigen,3.0,2.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828292491,20,7,0,10,1,29.6,23.2,P. Bjur,3.0,2.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828292311,22,7,0,11,0,64.7,83.0,G. Mortensen,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828293079,35,3,0,11,0,35.3,17.0,A. Lausen,4.0,2.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828293083,36,61,0,11,1,32.2,26.2,A. Lausen,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828291839,4,5,0,16,0,34.8,-1.8,J. Buus,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291837,7,5,0,16,1,65.2,101.8,G. Mortensen,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291857,8,1,0,22,1,58.6,101.9,G. Mortensen,5.0,3.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,44.2,85.7,0.00001184,NaN,NaN,NaN,18.7,3.8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,true,NaN,NaN,NaN,5.0,0.0,eq15hjcxpdrl5vca2q7s4tr3e,M. Ivančević,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291869,9,1,0,23,1,44.2,85.7,M. Ivančević,5.0,3.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,22.8,54.8,0.00000504,NaN,NaN,NaN,30.8,3.9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5.0,0.0,52vwj2s29n7wngablotd7pboq,J. Ægidius,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291913,10,1,0,27,0,22.8,54.8,J. Ægidius,5.0,3.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,95.1,82.1,NaN,NaN,NaN,NaN,78.2,0.2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5.0,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828291917,11,43,0,33,1,0.0,0.0,J. Cornelius,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828291929,5,56,0,34,1,1.3,13.1,J. Buus,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828292049,6,5,0,34,1,-1.2,20.1,J. Buus,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828292067,12,5,0,34,0,101.2,79.9,J. Cornelius,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828292075,7,1,0,55,0,3.9,45.4,K. Kristensen,6.0,4.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,61.2,80.5,NaN,NaN,NaN,NaN,64.7,0.4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.0,,,draw
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,bu0ez9a5mhcxh9c23fny7d7h0,2828292083,8,44,0,57,0,62.8,77.7,M. Hansen,NaN,NaN,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0,,,draw
Lyngby,anga7587r1zv4ey71ge9zxol3,bu0ez9a5mhcxh9c23fny7d7h0,2828292069,13,44,0,57,1,37.2,22.3,T. Storm,7.0,5.0,NaN,NaN,Esbjerg vs Lyngby,2025-07-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5.0,0.0,,,draw
