sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,att_dir,local_date,description
1,1icurh5jrnw1e6jdgqxjnhdnu,G. Culhaci,RW,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,-5.85,28.35,False,2025-07-18,HB Køge vs Hobro
1,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,RCB,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,20.27,15.16,False,2025-07-18,HB Køge vs Hobro
1,3mgrufy83uhzs9liw8pwxi784,G. Larsen,LCM,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,True,True,False,False,False,0,False,True,True,2.0,3.72,0,0,2,3,29.25,-3.33,5.3,-6.09,False,2025-07-18,HB Køge vs Hobro
1,444n8m1tirk6lp739iigw42c5,M. Rochester,CF,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,True,True,2.0,3.72,0,0,2,3,29.25,-3.33,-2.89,0.71,False,2025-07-18,HB Køge vs Hobro
1,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,RWB,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,0.04,25.29,False,2025-07-18,HB Køge vs Hobro
1,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,LWB,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,12.43,-19.06,False,2025-07-18,HB Køge vs Hobro
1,6gmm4awyvlf9p7jr9dvnmp0tm,L. Bust,LCB,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,True,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,19.72,-5.25,False,2025-07-18,HB Køge vs Hobro
1,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,LW,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,-6.75,-19.16,False,2025-07-18,HB Køge vs Hobro
1,7al9w77ailhli8g487tkl32tw,M. Westergren,CB,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,19.03,7.92,False,2025-07-18,HB Køge vs Hobro
1,k43cten7yb6p59yo0firhb84,M. Schutt,RCM,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,GK,False,False,False,True,False,False,False,0,False,False,True,2.0,3.72,0,0,2,3,29.25,-3.33,6.18,7.88,False,2025-07-18,HB Køge vs Hobro
2,1icurh5jrnw1e6jdgqxjnhdnu,G. Culhaci,RW,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,RCB,False,False,False,False,False,False,False,0,False,False,False,13.92,14.04,0,0,13,14,-7.29,24.83,-25.48,17.52,False,2025-07-18,HB Køge vs Hobro
2,3mgrufy83uhzs9liw8pwxi784,G. Larsen,LCM,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,RCB,False,False,False,False,False,False,False,0,False,False,False,13.92,14.04,0,0,13,14,-7.29,24.83,-12.36,17.74,False,2025-07-18,HB Køge vs Hobro
2,444n8m1tirk6lp739iigw42c5,M. Rochester,CF,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,RCB,False,False,True,False,False,False,False,0,False,True,False,13.92,14.04,0,0,13,14,-7.29,24.83,-19.41,31.55,False,2025-07-18,HB Køge vs Hobro
2,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,RWB,48874e9f-62ea-47c1-ae00-de7e40667409,brnzj43frth2y4gjyeex6n5lg,HBK,1,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,RCB,False,False,False,False,False,False,False,0,False,False,False,13.92,14.04,0,0,13,14,-7.29,24.83,-13.76,24.16,False,2025-07-18,HB Køge vs Hobro
