contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,9,15,16,17,18,19,20,22,23,25,26,29,56,63,72,73,74,76,78,80,81,82,84,100,102,103,108,146,147,153,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,353,374,375,390,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,24,107,64,68,85,87,254,300,65,75,77,79,83,89,113,120,121,133,138,216,217,273,395,396,60,61,86,101,391,192,275,69,136,139,21,62,114
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2838125151,41,13,1,4,43,L. Bust,6gmm4awyvlf9p7jr9dvnmp0tm,1,70.0,65.4,2025-08-23T12:04:52.042,2025-08-23T12:06:00,"{""id"": 5857724735, ""qualifierId"": 22}",1.0,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.1,63.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.5,50.4,NaN,NaN,NaN,NaN,0.008337489329278469,0.0,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2838123339,44,16,1,2,27,A. Justinussen,uiyol728wan4mxco2foplknp,1,97.7,48.1,2025-08-23T12:02:35.715,2025-08-23T14:19:49,"{""id"": 5857716663, ""qualifierId"": 322, ""value"": ""0.913539469242096""}",NaN,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,true,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,46.8,5.7,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,98.6,48.6,NaN,PASS_LOST,422426,6463,0.6084959506988525,0.913539469242096,NaN,NaN,2,2,NaN,NaN,NaN,2025-08-23 13:02:35.551,02:27.234,NaN,true,NaN,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2838130773,74,15,1,9,46,C. Tue Jensen,74m58jsznzu8l89b8h7rkh1bd,1,79.6,45.4,2025-08-23T12:09:54.733,2025-08-23T14:19:49,"{""id"": 5857755005, ""qualifierId"": 56, ""value"": ""Center""}",1.0,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,52.8,10.1,NaN,92.7,47.5,NaN,NaN,NaN,NaN,true,NaN,NaN,116,NaN,NaN,NaN,0.13149172067642212,0.3781563937664032,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2838132201,79,15,1,10,57,C. Tue Jensen,74m58jsznzu8l89b8h7rkh1bd,1,78.8,52.3,2025-08-23T12:11:06.134,2025-08-23T12:12:13,"{""id"": 5857763827, ""qualifierId"": 231, ""value"": ""50.4""}",NaN,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,47.3,19,NaN,84.0,51.1,NaN,NaN,NaN,NaN,true,95.8,50.4,122,NaN,NaN,NaN,0.017921917140483856,0.0,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2838133787,137,15,1,12,20,A. Justinussen,uiyol728wan4mxco2foplknp,1,90.2,50.3,2025-08-23T12:12:28.791,2025-08-23T14:19:54,"{""id"": 5857771923, ""qualifierId"": 233, ""value"": ""91""}",1.0,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,48.3,13.9,NaN,99.0,49.8,NaN,true,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,0.05779241770505905,0.09228884428739548,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2838145069,199,15,1,24,33,B. Alkhoudari,6orujbbswf771s9rv0dcd8kd0,1,66.5,63.3,2025-08-23T12:24:42.061,2025-08-23T12:25:51,"{""id"": 4611686018471381211, ""qualifierId"": 322, ""value"": ""0.0""}",NaN,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,Center,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,48.9,19,NaN,74.4,59.9,NaN,NaN,NaN,NaN,true,95.9,49.5,248,NaN,NaN,NaN,0.019224336370825768,0.0,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2838147023,218,13,1,27,11,Mohamad Al Naser,abhfq12njxxutqjtb9zvcusyc,1,88.1,45.6,2025-08-23T12:27:19.641,2025-08-23T12:28:25,"{""id"": 4611686018471381283, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,42.4,18.1,NaN,97.8,41.9,true,true,NaN,NaN,NaN,98.2,48.7,NaN,NaN,NaN,NaN,0.09742508828639984,0.0,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2838142717,221,14,1,21,13,J. Witt,5z7y55t2o577r8ki3i5855as,1,95.7,49.3,2025-08-23T12:21:21.777,2025-08-23T12:22:33,"{""id"": 5857820771, ""qualifierId"": 231, ""value"": ""51.3""}",NaN,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.5,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.7,51.3,NaN,NaN,NaN,NaN,0.2806958556175232,0.0,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2838143731,230,16,1,22,24,P. Kallsberg,9vdj7ooa6z62r1cfi1f44haay,1,89.0,45.0,2025-08-23T12:22:32.537,2025-08-23T14:19:49,"{""id"": 5857825815, ""qualifierId"": 56, ""value"": ""Center""}",NaN,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,53.2,4.4,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,95.6,46.6,NaN,NaN,NaN,NaN,0.2280884087085724,0.8196219801902771,NaN,NaN,2,2,NaN,NaN,NaN,2025-08-23 13:22:31.815,22:23.498,NaN,true,219,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2838148807,235,13,1,29,45,Mohamad Al Naser,abhfq12njxxutqjtb9zvcusyc,1,92.8,46.3,2025-08-23T12:29:54.151,2025-08-23T12:31:07,"{""id"": 5857854513, ""qualifierId"": 29}",1.0,c71hh3jwtlivmxfdky9smmdxw,Hillerød vs HB Køge,1_Division,2025-08-23,DNK,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,42.4,9.7,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.1,48.0,NaN,NaN,NaN,NaN,0.11747244000434875,0.0,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
