contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,19,20,22,23,24,25,29,56,60,72,73,74,76,77,78,80,81,82,83,84,87,100,101,102,103,108,120,133,139,146,147,153,154,214,215,230,231,233,300,321,322,323,326,327,328,338,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,63,64,75,79,136,160,280,281,282,324,468,472,86,121,61,65,114,85,353,390,276,89
36g6ifzjliec1jqnbtf7yesme,AaB,2835057947,47,13,1,4,8,O. Ross,5lz41celw55rz3zh8pohclw5w,1,85.0,58.1,2025-08-15T17:04:40.190,2025-08-15T17:05:56,1.0,"{""id"": 5840527503, ""qualifierId"": 17}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,38.7,73.6,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.0,52.7,NaN,NaN,0.04116029292345047,0.0,NaN,2,3,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835061523,129,13,1,10,52,A. Moro,51ymbnikkta369rn3exb1g7bo,1,80.8,48.1,2025-08-15T17:11:23.938,2025-08-15T17:12:31,1.0,"{""id"": 5850478399, ""qualifierId"": 77}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.7,91.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.8,49.6,NaN,NaN,0.062060847878456116,0.0,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835061859,136,15,1,11,27,K. Kirkegaard,3ylgelxr6ssp42hidfnchqp2i,1,84.9,53.2,2025-08-15T17:11:58.763,2025-08-15T17:13:13,1.0,"{""id"": 5840549607, ""qualifierId"": 326, ""value"": ""2""}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,50.6,5.6,NaN,NaN,NaN,NaN,88.6,52.5,NaN,true,NaN,NaN,98.1,51.3,108,NaN,0.10424403846263885,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835062289,139,15,1,12,10,K. Kirkegaard,3ylgelxr6ssp42hidfnchqp2i,1,90.9,47.4,2025-08-15T17:12:41.740,2025-08-15T17:13:52,1.0,"{""id"": 5840556209, ""qualifierId"": 233, ""value"": ""111""}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,53.6,6.9,NaN,NaN,NaN,NaN,94.6,49.8,NaN,true,NaN,NaN,98.8,49.5,111,NaN,0.08843071758747101,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835063429,155,15,1,14,2,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,91.4,38.0,2025-08-15T17:14:33.780,2025-08-18T14:29:29,1.0,"{""id"": 5850481923, ""qualifierId"": 120}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,46.1,25.9,NaN,true,NaN,NaN,98.6,47.1,NaN,true,NaN,NaN,NaN,NaN,132,NaN,0.15382593870162964,0.7723480463027954,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835071891,267,15,1,29,47,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,85.6,40.9,2025-08-15T17:30:18.732,2025-08-18T15:29:27,1.0,"{""id"": 5840607977, ""qualifierId"": 102, ""value"": ""46.5""}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.5,12.0,NaN,NaN,NaN,NaN,98.4,49.6,NaN,true,NaN,NaN,NaN,NaN,253,NaN,0.074991375207901,0.4688899517059326,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835072587,273,16,1,31,3,K. Kirkegaard,3ylgelxr6ssp42hidfnchqp2i,1,74.7,67.5,2025-08-15T17:31:35.377,2025-08-18T15:29:28,1.0,"{""id"": 5850497925, ""qualifierId"": 396, ""value"": ""54.3""}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.1,1.9,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,96.4,54.3,NaN,true,0.045704685151576996,0.5116584300994873,NaN,1,2,NaN,NaN,2025-08-15 18:31:33.630,31:02.207,NaN,96.4,54.3,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2835082043,428,15,1,48,59,K. John,5vrsflxiv2dgfa8199a2qxsve,1,95.1,46.6,2025-08-15T17:49:30.765,2025-08-18T15:29:24,1.0,"{""id"": 5840664045, ""qualifierId"": 22}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,true,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.4,5.1,NaN,NaN,NaN,NaN,96.7,48.0,NaN,true,true,NaN,NaN,NaN,437,NaN,0.25663885474205017,0.32411524653434753,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835098275,505,15,2,49,1,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,87.4,37.2,2025-08-15T18:13:44.326,2025-08-18T16:29:37,1.0,"{""id"": 5840754613, ""qualifierId"": 327, ""value"": ""2""}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.1,5.1,true,NaN,NaN,NaN,98.4,48.4,NaN,true,NaN,NaN,NaN,NaN,503,NaN,0.06979624181985855,0.22084936499595642,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2835098721,513,13,2,49,25,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,89.5,42.5,2025-08-15T18:14:07.943,2025-08-15T18:15:21,1.0,"{""id"": 5840757809, ""qualifierId"": 321, ""value"": ""0.05554128438234329""}",c1ewpxmymnq163q1zr4olsd1w,AaB vs Horsens,1_Division,2025-08-15,DNK,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.0,73.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.6,46.9,NaN,NaN,0.05554128438234329,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
