type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,league_name,country,date,home_team,away_team
ballPossession,60.1,39.9,NaN,5,0-5,53.0,47.0,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,6-10,44.4,55.6,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,11-15,21.9,78.1,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,16-20,55.2,44.8,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,21-25,62.5,37.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,26-30,72.7,27.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,31-35,50.0,50.0,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,36-40,73.1,26.9,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,41-45,60.0,40.0,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,46-50,70.7,29.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,51-55,82.4,17.6,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,56-60,88.6,11.4,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,61-65,63.5,36.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,66-70,47.7,52.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,71-75,89.8,10.2,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,76-80,23.5,76.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,81-85,52.3,47.7,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,5,86-90,69.3,30.7,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,15,0-15,39.7,60.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,15,16-30,62.7,37.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,15,31-45,60.8,39.2,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,15,46-60,79.6,20.4,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,15,61-75,69.0,31.0,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,15,76-90,52.5,47.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,45,0-45,53.8,46.2,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
ballPossession,60.1,39.9,NaN,45,46-90,66.5,33.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,0-5,33.3,66.7,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,6-10,53.7,46.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,11-15,23.4,76.6,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,16-20,20.7,79.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,21-25,50.0,50.0,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,26-30,20.5,79.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,31-35,48.6,51.4,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,36-40,61.2,38.8,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,41-45,43.8,56.2,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,46-50,24.1,75.9,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,51-55,56.8,43.2,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,56-60,48.6,51.4,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,61-65,23.1,76.9,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,66-70,52.3,47.7,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,71-75,61.0,39.0,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,76-80,62.7,37.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,81-85,61.4,38.6,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,5,86-90,48.9,51.1,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,15,0-15,35.9,64.1,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,15,16-30,24.6,75.4,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,15,31-45,50.7,49.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,15,46-60,43.7,56.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,15,61-75,45.8,54.2,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,15,76-90,55.7,44.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,45,0-45,39.5,60.5,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorial,44.0,56.0,NaN,45,46-90,48.7,51.3,NaN,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,0-5,22.7,10.6,66.7,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,6-10,18.5,27.8,53.7,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,11-15,53.1,10.9,36.0,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,16-20,39.7,12.1,48.2,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,21-25,25.0,31.2,43.8,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,26-30,54.5,4.5,41.0,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,31-35,17.1,30.0,52.9,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,36-40,14.9,31.3,53.8,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,41-45,22.5,23.8,53.7,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,46-50,43.1,6.9,50.0,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,51-55,23.0,24.3,52.7,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,56-60,22.9,14.3,62.8,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,61-65,55.8,13.5,30.7,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,66-70,22.7,36.4,40.9,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,71-75,15.3,22.0,62.7,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
territorialThird,28.6,21.2,50.2,5,76-80,19.6,29.4,51.0,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,1_Division,DNK,2025-07-18,HB Køge,Hobro
