Player,ID,Minutes,Distance,High Speed Running,Sprinting,No. of High Intensity Runs,Top Speed
Anders Faester Jensen,552722,95:30,10423.66,521.59,82.08,9,31.49
Andreas Maarup Hansen,599148,99:09,10982.26,673.45,89.8,86,32.87
Armann Taranis,509193,99:53,10788.12,778.87,81.87,98,33.79
Frederik Engqvist,661885,10:17,1175.67,86.38,25.86,9,27.56
Gustav Fraulo,568402,99:09,11892.33,813.42,64.23,99,32.22
Hordur Askham,113833,99:53,10104.58,79.35,23.34,86,31.42
Jonas Horup Damkjaer,663317,34:11,4128.69,75.36,98.17,7,33.18
Kasper Nyegaard,599121,99:53,12799.19,949.87,97.34,98,32.63
Lasse Emil Nielsen,147581,97:29,9583.5,626.74,9.27,90,33.06
Magnus Lysholm,561619,99:53,11493.76,82.22,5.24,58,33.05
Marc Winkel,613312,29:55,3913.48,347.46,68.97,56,30.25
Marco Brylov,544948,99:53,5278.89,9.76,8.92,8,27.5
Marcus Kristensen,505649,52:03,5789.25,80.64,97.5,62,31.31
Mikkel Juhl Aagaard Andersen,545110,99:53,11236.08,915.91,366.16,93,31.46
Nichlas Monefeldt Vesterbaek,553482,99:09,10324.26,624.01,80.75,90,33.17
Nicklas Halse,205922,96:11,11087.43,901.45,94.22,83,30.15
Oliver Astradsson Juul Jensen,659958,99:53,11423.12,935.4,356.68,99,33.77
Oliver Skolnik,552843,99:09,10607.23,605.01,93.91,80,32.13
Roni Arabaci,512220,95:09,11358.81,817.46,99.91,77,32.86
Selim Baskaya,599161,69:27,9082.84,81.39,95.4,8,31.8
Valdemar Montell,599168,97:29,10809.77,542.81,258.66,92,32.27
