team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
HBK,16,1047.75,118234.94,18023.32,8198.84,3803.61,1318,612,605,101,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HIL,16,958.8,113418.25,19709.9,8010.03,3175.2,1254,748,434,72,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
SJE,16,1062.3333333333333,128039.66,23757.0,10430.53,4150.13,1616,807,691,118,7fb79742-9c27-448b-9f4d-ed61448c207f,VFN - SJE : 2023-7-21,2023,1.Div
VFN,15,1062.35,127360.79,21716.23,9497.06,3469.1,1453,824,538,91,7fb79742-9c27-448b-9f4d-ed61448c207f,VFN - SJE : 2023-7-21,2023,1.Div
AAB,16,1046.95,115625.1,17069.829999999998,5533.78,1744.04,765,370,358,37,3a24770d-d3e4-4027-8508-647b30a32420,B93 - AAB : 2023-7-22,2023,1.Div
B93,16,1046.9333333333334,111827.59,15852.66,5735.42,1345.13,727,400,305,22,3a24770d-d3e4-4027-8508-647b30a32420,B93 - AAB : 2023-7-22,2023,1.Div
FRE,15,1046.4333333333334,108841.51000000001,15951.44,6094.03,1815.69,825,425,376,24,39b9bfa3-9140-4e3e-b339-2b45f4c1c84c,FRE - HIK : 2023-7-23,2023,1.Div
HIK,14,1034.8666666666666,109506.34,14901.37,5475.42,2048.36,807,426,334,47,39b9bfa3-9140-4e3e-b339-2b45f4c1c84c,FRE - HIK : 2023-7-23,2023,1.Div
ACH,15,1057.4333333333334,116409.25,19689.13,9058.99,4247.85,1455,723,615,117,a9b6d8ed-330e-46da-85bb-23cf868cde84,KIF - ACH : 2023-7-23,2023,1.Div
KIF,16,1057.45,116379.26,19176.04,9001.7,4473.46,1495,724,673,98,a9b6d8ed-330e-46da-85bb-23cf868cde84,KIF - ACH : 2023-7-23,2023,1.Div
HEL,16,1068.95,117757.18000000001,21029.89,10444.71,4746.68,1549,871,518,160,e1d8dce6-d974-4036-a766-1175db4f451c,HEL - NVD : 2023-7-23,2023,1.Div
NVD,15,1068.9833333333333,115086.89,20939.5,9047.32,3620.28,1287,565,615,107,e1d8dce6-d974-4036-a766-1175db4f451c,HEL - NVD : 2023-7-23,2023,1.Div
HBK,16,1114.8166666666666,121898.21,18831.170000000002,8578.63,3754.4300000000003,1252,688,472,92,337dc071-1146-47d5-8926-4b1189096a95,HBK - VFN : 2023-7-28,2023,1.Div
VFN,16,1114.85,123843.31999999999,20879.85,8252.73,2472.25,1054,552,446,56,337dc071-1146-47d5-8926-4b1189096a95,HBK - VFN : 2023-7-28,2023,1.Div
FRE,16,1067.8666666666666,116724.55,17561.6,7440.91,2657.65,1062,604,417,41,bf712cb9-0cb9-4427-8ba2-8a96bdbb7b89,SJE - FRE : 2023-7-28,2023,1.Div
SJE,16,995.7166666666667,113937.65,19273.66,8129.77,2829.92,1109,534,519,56,bf712cb9-0cb9-4427-8ba2-8a96bdbb7b89,SJE - FRE : 2023-7-28,2023,1.Div
HIK,16,1117.8833333333334,118653.79,17013.09,7451.46,2964.52,1059,526,468,65,c1151463-5a63-4659-8ab1-d7ac91f71c68,HIK - NVD : 2023-7-28,2023,1.Div
NVD,16,1117.8833333333334,121995.27,19483.42,7471.92,2639.94,1051,572,415,64,c1151463-5a63-4659-8ab1-d7ac91f71c68,HIK - NVD : 2023-7-28,2023,1.Div
HIL,16,1059.2166666666667,118328.38,19997.89,8743.07,2658.4900000000002,1298,694,508,96,abd3789a-41f6-42fb-a25a-cb33fb77dd9a,KIF - HIL : 2023-7-29,2023,1.Div
KIF,16,1059.25,116229.48,19348.12,8496.91,3283.44,1280,655,526,99,abd3789a-41f6-42fb-a25a-cb33fb77dd9a,KIF - HIL : 2023-7-29,2023,1.Div
AAB,15,1109.1,119839.01,18542.379999999997,6835.22,2743.8,938,374,525,39,ef7e9b1e-7a4a-47b2-969c-1e671ba6b1bb,AAB - ACH : 2023-7-29,2023,1.Div
ACH,16,1110.4333333333334,119109.45,17559.28,7305.37,3162.59,1032,648,341,43,ef7e9b1e-7a4a-47b2-969c-1e671ba6b1bb,AAB - ACH : 2023-7-29,2023,1.Div
B93,16,1115.3666666666666,120794.98,20254.72,8962.97,2867.63,1237,720,455,62,380d8e26-0e9b-409a-9dd9-170ee72816bb,HEL - B93 : 2023-7-30,2023,1.Div
HEL,16,1115.3833333333334,121777.21,20625.28,9305.77,3382.29,1290,638,563,89,380d8e26-0e9b-409a-9dd9-170ee72816bb,HEL - B93 : 2023-7-30,2023,1.Div
