competition,season,team,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
1.Div,2025,AAB,83572,Nicklas Helenius,9,CF,9707.922923789338,3006.65351551845,4613.885720725833,1384.319612162184,533.2316964940449,169.8326332021465,73.59844969472418,112.9816219927164,42.51903245181128,3738.926490706212,210.6427773853036,45.14390380332507,26.548572069091165,2090.3792254288983,29.62934879682028,11.707073798007775,4.530845173821737,8
1.Div,2025,AAB,172829,Mikkel Kallesoe,2,RB,10579.046868466055,2933.04534745075,4957.586958969134,1638.3112126527642,781.8999899085809,268.1989059950758,93.56843004692334,146.15613607205583,44.28789561704333,3951.2224251617954,381.6530421908491,110.8630431602099,42.60684273086755,2330.5921177091377,72.47159972781719,11.177874593370905,6.673691699012458,5
1.Div,2025,AAB,192161,Frederik Borsting,25,LCM,11032.576183471512,2929.52198137662,4945.838476716328,2085.0013365555733,867.0130521104986,205.20133671249172,98.52893889308719,88.79446963353845,47.70526576219564,4201.683186376731,362.59039651933267,108.64798662110618,47.380561609641305,2192.042634305136,52.56522308813774,7.76569347828617,3.443111521250266,8
1.Div,2025,AAB,192161,Frederik Borsting,25,LDM,10991.52164309628,2753.5113128363337,5118.7476297110425,1999.3287449361937,859.8683585824193,260.07012951308275,111.87581440575698,109.30340180095718,50.50018212282364,4540.8892182654945,469.8637956930328,135.23005742411812,55.71316447116283,2152.5912480956285,36.71940935192781,15.53667028800745,5.662467811770519,8
1.Div,2025,AAB,192161,Frederik Borsting,25,RB,10632.135601634576,2864.5455282830335,4976.035615887828,1844.1076224462133,736.1477654140626,211.29606359141516,86.63693439900777,69.50810166376438,33.53878498316107,4151.244968654611,354.5307708563405,121.62073286877414,44.070495969688466,2091.7419646585467,75.46566262283329,20.1642033402685,9.027653446158242,8
1.Div,2025,AAB,192161,Frederik Borsting,25,RW,11302.684239130433,2699.8092391304344,4981.338586956522,2226.0913043478263,1028.788043478261,366.67173913043473,159.94565217391303,190.51141304347826,73.3695652173913,4501.2375,524.3576086956522,148.2798913043478,73.3695652173913,2735.496195652174,70.875,27.880434782608695,13.206521739130434,8
1.Div,2025,AAB,204165,Adam Andersson,3,LB,10752.204498097239,2867.156961039998,5153.543710913591,1704.698459829151,805.2369161987385,221.5580295127338,91.81726854192725,75.81475104452191,36.086103201426404,4489.648265561381,433.7832084785906,137.65459922292894,51.29287862256167,2151.3827560741943,33.38304148814434,8.088679245283018,4.438286717939165,4
1.Div,2025,AAB,204165,Adam Andersson,3,RB,10688.630214794048,2672.5842096314773,5028.81210063135,1839.3084777623458,827.0956092638166,320.8298175050561,119.57222149544936,135.7956122266188,55.268263510720104,4293.637313121249,397.8847108920359,176.73787377459638,60.409892295301134,1995.8392421334183,37.73804889899989,8.29633150384093,3.894065689428129,4
1.Div,2025,AAB,228900,Markus Kaasa,23,LCM,11794.08681087238,2590.178718232022,5284.335308826008,2579.8977471820986,1076.7640913337202,262.9153301949991,145.57671817842967,136.455908011259,78.10243306204791,4517.413382670673,468.264560410854,120.79026074790617,63.642229050002896,2187.031347580556,56.52753728762687,5.664776539366255,3.832056066378845,3
1.Div,2025,AAB,247510,Kornelius Hansen,11,LW,11285.49074101208,2590.325698722821,5097.948678773589,2162.4321680681464,1055.0866632313268,379.69819360037246,137.8417320690739,229.67108844501652,72.62061472958024,4625.238078386178,520.9923631851728,120.46400750468122,57.51823095457657,2103.5610551293653,51.84382655756711,29.561672773372493,7.702886384917114,7
