team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
AGF,16,1129.2666666666667,119744.16,17889.88,6893.23,2141.9,755,376,359,20,69cc4a79-985d-45b4-8980-53428ebbe3d6,AGF - FCM : 2024-7-19,2024,Superliga
FCM,16,1129.2666666666667,114025.42,17036.92,7444.95,2124.4900000000002,775,426,344,5,69cc4a79-985d-45b4-8980-53428ebbe3d6,AGF - FCM : 2024-7-19,2024,Superliga
AAB,16,1067.8666666666666,126314.33,20362.27,7677.53,2454.36,850,495,335,20,aaeb7384-43c9-421f-b99c-55eeaaf6e657,FCN - AAB : 2024-7-19,2024,Superliga
FCN,15,1067.85,122037.36,19808.46,7805.5599999999995,2837.43,905,451,437,17,aaeb7384-43c9-421f-b99c-55eeaaf6e657,FCN - AAB : 2024-7-19,2024,Superliga
SIF,16,1046.8333333333333,114283.90000000001,14555.03,5323.03,1535.34,624,355,263,6,613e78b3-8e1f-4170-b1e2-c1965b26821b,SIF - SJE : 2024-7-21,2024,Superliga
SJE,16,1046.8166666666666,113476.91,15949.12,5145.2699999999995,1752.3999999999999,641,335,304,2,613e78b3-8e1f-4170-b1e2-c1965b26821b,SIF - SJE : 2024-7-21,2024,Superliga
RFC,16,1135.85,106834.11,14478.92,5687.24,1897.67,672,388,274,10,af204117-98d4-4c9e-bee4-c436f4ec16e0,VB - RFC : 2024-7-21,2024,Superliga
VB,16,1135.85,104114.31,14071.64,5427.75,1699.77,627,302,311,14,af204117-98d4-4c9e-bee4-c436f4ec16e0,VB - RFC : 2024-7-21,2024,Superliga
BIF,16,1110.0166666666667,113687.04,15377.4,5454.61,1554.2,612,293,295,24,55515a7a-88d4-4ccc-980d-9fc3aaf1157c,VFF - BIF : 2024-7-21,2024,Superliga
VFF,16,1110.0333333333333,120403.38,17716.23,7057.12,1646.79,738,451,255,32,55515a7a-88d4-4ccc-980d-9fc3aaf1157c,VFF - BIF : 2024-7-21,2024,Superliga
FCK,16,1100.7333333333333,122097.37,18584.11,6845.36,2259.46,821,415,384,22,f0385cee-c728-40ea-87cc-c9deab4b6f21,LBK - FCK : 2024-7-22,2024,Superliga
LBK,15,1100.7333333333333,115732.37,16100.45,5694.71,1921.83,707,433,255,19,f0385cee-c728-40ea-87cc-c9deab4b6f21,LBK - FCK : 2024-7-22,2024,Superliga
LBK,15,1083.8333333333333,109945.92,15998.66,6257.33,1688.04,691,433,247,11,45a439f2-d150-4880-8323-434334115c7e,SJE - LBK : 2024-7-26,2024,Superliga
SJE,16,1083.85,114202.3,18391.05,7221.33,2207.7000000000003,847,370,457,20,45a439f2-d150-4880-8323-434334115c7e,SJE - LBK : 2024-7-26,2024,Superliga
FCM,16,1061.1333333333334,115435.73,16689.510000000002,6141.53,1845.83,753,432,303,18,48746971-86a7-423c-a5af-0eba55a247d9,FCN - FCM : 2024-7-27,2024,Superliga
FCN,14,1061.1333333333334,115582.84999999999,16858.41,6082.54,1717.51,721,391,318,12,48746971-86a7-423c-a5af-0eba55a247d9,FCN - FCM : 2024-7-27,2024,Superliga
RFC,16,1100.8333333333333,109917.09,15307.94,5377.57,1571.67,639,345,285,9,dc490df5-6635-4666-9a43-bc435e790ab2,RFC - VFF : 2024-7-28,2024,Superliga
VFF,16,1100.8333333333333,110592.67,15415.390000000001,5477.219999999999,1518.07,646,336,306,4,dc490df5-6635-4666-9a43-bc435e790ab2,RFC - VFF : 2024-7-28,2024,Superliga
AAB,16,1069.6833333333334,121350.94,18661.22,7780.1,2752.98,876,484,376,16,eaba1da1-b6f9-4302-9248-a02fd18f54b9,AAB - SIF : 2024-7-28,2024,Superliga
SIF,16,1067.9333333333334,118496.71,17637.25,7378.0,2362.14,809,420,383,6,eaba1da1-b6f9-4302-9248-a02fd18f54b9,AAB - SIF : 2024-7-28,2024,Superliga
AGF,15,1063.6833333333334,118060.40000000001,17935.4,5980.72,1768.3999999999999,657,369,282,6,8dac2cf1-1411-42b9-a4fe-63e914928fc2,FCK - AGF : 2024-7-28,2024,Superliga
FCK,16,1063.6333333333334,118713.59999999999,18700.37,7300.11,2164.93,820,455,358,7,8dac2cf1-1411-42b9-a4fe-63e914928fc2,FCK - AGF : 2024-7-28,2024,Superliga
BIF,16,1095.5666666666666,104972.36,14417.84,5286.27,1832.16,646,344,283,19,4b28a07b-f9b6-416e-b7c8-ab139fcadb06,BIF - VB : 2024-7-29,2024,Superliga
VB,16,1095.5833333333333,106320.63,14852.67,5593.03,1685.57,644,360,270,14,4b28a07b-f9b6-416e-b7c8-ab139fcadb06,BIF - VB : 2024-7-29,2024,Superliga
AGF,16,1108.6,122035.82,19192.97,7244.76,2075.01,810,420,373,17,2aa227aa-9a41-437c-a8ff-b06ba9e46611,AGF - SJE : 2024-8-2,2024,Superliga
SJE,16,1108.6166666666666,117274.08,18639.4,7211.5,1898.29,799,436,349,14,2aa227aa-9a41-437c-a8ff-b06ba9e46611,AGF - SJE : 2024-8-2,2024,Superliga
AAB,16,1091.3166666666666,118473.49,17556.84,7642.69,3315.12,912,476,421,15,f9693074-74ca-44af-9299-346b803f3955,FCM - AAB : 2024-8-3,2024,Superliga
FCM,16,1091.3333333333333,114923.89,16674.61,7227.79,2745.9900000000002,802,474,317,11,f9693074-74ca-44af-9299-346b803f3955,FCM - AAB : 2024-8-3,2024,Superliga
SIF,16,1082.9,122728.24,18387.69,5864.0199999999995,1722.97,687,305,373,9,81236cc7-56a8-43e1-ac1c-723d4dcfffab,SIF - VFF : 2024-8-4,2024,Superliga
VFF,16,1082.9166666666667,120089.37,19069.73,7388.3,1550.58,775,543,223,9,81236cc7-56a8-43e1-ac1c-723d4dcfffab,SIF - VFF : 2024-8-4,2024,Superliga
FCK,15,1140.4666666666667,116681.04,16817.17,6031.18,2030.46,721,369,344,8,9c79f2cd-1df1-415c-8f00-855d2ce2f87b,FCK - RFC : 2024-8-4,2024,Superliga
RFC,16,1063.3,106403.49,14879.86,4924.14,1516.8700000000001,561,331,224,6,9c79f2cd-1df1-415c-8f00-855d2ce2f87b,FCK - RFC : 2024-8-4,2024,Superliga
BIF,16,1081.6333333333334,109164.42,15394.54,5045.97,1718.07,649,371,266,12,56743e0c-84c7-4dd8-b091-da2fbccf485c,LBK - BIF : 2024-8-4,2024,Superliga
LBK,16,1081.65,108870.45999999999,15490.86,4864.95,1728.76,601,353,233,15,56743e0c-84c7-4dd8-b091-da2fbccf485c,LBK - BIF : 2024-8-4,2024,Superliga
FCN,15,1065.3333333333333,117967.44,17257.43,7289.81,2687.36,812,379,425,8,9bd77dfa-f618-4994-a4c8-579caa976b2f,VB - FCN : 2024-8-5,2024,Superliga
VB,16,1065.35,112709.44,16647.35,6255.4,2074.37,732,459,266,7,9bd77dfa-f618-4994-a4c8-579caa976b2f,VB - FCN : 2024-8-5,2024,Superliga
FCM,16,1048.45,113957.93,18297.21,7193.38,2325.95,832,462,360,10,6805dd9a-1df8-4b81-9020-c7e7f3848b81,FCM - VB : 2024-8-9,2024,Superliga
VB,16,1048.4833333333333,107773.81999999999,16049.27,6154.849999999999,2002.58,706,406,291,9,6805dd9a-1df8-4b81-9020-c7e7f3848b81,FCM - VB : 2024-8-9,2024,Superliga
RFC,16,1034.85,110433.86,16075.82,6910.65,1548.92,736,410,316,10,143930ec-59e4-4eb8-a745-afcbf3a38f98,RFC - SIF : 2024-8-11,2024,Superliga
SIF,16,1034.8833333333334,115266.68000000001,17553.24,6186.85,1377.13,655,318,330,7,143930ec-59e4-4eb8-a745-afcbf3a38f98,RFC - SIF : 2024-8-11,2024,Superliga
FCN,15,1072.85,113808.69,16413.2,6015.47,1905.13,710,304,397,9,32f6aaf1-3096-4c4d-824b-d0d8be479e10,FCN - LBK : 2024-8-11,2024,Superliga
LBK,15,1072.8333333333333,111151.37,14840.23,5276.01,1826.65,647,426,209,12,32f6aaf1-3096-4c4d-824b-d0d8be479e10,FCN - LBK : 2024-8-11,2024,Superliga
AGF,16,1068.5666666666666,118884.4,17485.52,6428.57,1828.37,726,423,290,13,32b439c6-dbf1-41c1-b0f1-57ed9546dc58,BIF - AGF : 2024-8-11,2024,Superliga
BIF,16,1068.5666666666666,112805.2,15751.47,5584.42,1783.3899999999999,675,346,321,8,32b439c6-dbf1-41c1-b0f1-57ed9546dc58,BIF - AGF : 2024-8-11,2024,Superliga
FCK,16,1079.4,120404.22,18982.9,7679.22,2364.14,906,469,429,8,58bb673e-f01c-4f44-98fc-26a9fbb8b2fc,SJE - FCK : 2024-8-11,2024,Superliga
SJE,16,1079.45,121518.88,20361.65,8402.51,2474.7200000000003,991,583,398,10,58bb673e-f01c-4f44-98fc-26a9fbb8b2fc,SJE - FCK : 2024-8-11,2024,Superliga
AAB,16,1173.65,122881.13,18341.28,7155.38,2151.75,820,447,367,6,511f482c-7158-4522-ad18-5b2dc2649e21,VFF - AAB : 2024-8-12,2024,Superliga
VFF,15,1173.65,120529.71,18160.42,6948.66,2321.06,772,420,344,8,511f482c-7158-4522-ad18-5b2dc2649e21,VFF - AAB : 2024-8-12,2024,Superliga
FCM,16,1082.15,111812.14,16360.82,6632.2300000000005,2389.64,793,451,332,10,5106cb65-cec0-4d29-b300-ef5bce8bc899,LBK - FCM : 2024-8-16,2024,Superliga
LBK,15,1082.1666666666667,111898.86,15962.35,6438.74,2268.7,725,371,335,19,5106cb65-cec0-4d29-b300-ef5bce8bc899,LBK - FCM : 2024-8-16,2024,Superliga
FCN,16,1101.9333333333334,121028.2,18455.55,6714.0599999999995,1837.05,774,509,256,9,a8761568-ed19-4191-b96b-486a0c1b757d,SIF - FCN : 2024-8-18,2024,Superliga
SIF,15,1101.95,121507.87,15653.27,5181.49,1588.4199999999998,624,262,344,18,a8761568-ed19-4191-b96b-486a0c1b757d,SIF - FCN : 2024-8-18,2024,Superliga
RFC,15,1073.7833333333333,111021.34,17520.32,6353.01,2633.83,806,393,395,18,be5ce13b-4a55-4a6b-ba4d-8c9b80355a01,RFC - SJE : 2024-8-18,2024,Superliga
SJE,16,1073.7666666666667,116138.77,19063.68,7592.33,2695.26,883,507,354,22,be5ce13b-4a55-4a6b-ba4d-8c9b80355a01,RFC - SJE : 2024-8-18,2024,Superliga
FCK,16,1159.3166666666666,119401.84,18252.93,7604.31,2285.54,801,484,299,18,38db7a31-68a4-44c6-aca8-fba024bd737e,FCK - VFF : 2024-8-18,2024,Superliga
VFF,16,1159.3333333333333,119237.94,18580.79,6797.62,1912.8,741,406,326,9,38db7a31-68a4-44c6-aca8-fba024bd737e,FCK - VFF : 2024-8-18,2024,Superliga
AAB,16,1056.1833333333334,112477.11,17314.46,6263.6900000000005,2240.83,780,485,285,10,092462f9-3827-481f-9661-9b26f9d51fa7,AAB - BIF : 2024-8-18,2024,Superliga
BIF,16,1056.1833333333334,110030.61,15907.63,5980.03,1921.25,753,331,410,12,092462f9-3827-481f-9661-9b26f9d51fa7,AAB - BIF : 2024-8-18,2024,Superliga
AGF,16,1061.8,118190.93,17687.07,7031.86,2517.21,812,355,433,24,89015536-e85c-4699-b987-873b20c95231,AGF - VB : 2024-8-19,2024,Superliga
VB,16,1061.8,111364.12,16349.68,6292.29,1836.69,703,423,258,22,89015536-e85c-4699-b987-873b20c95231,AGF - VB : 2024-8-19,2024,Superliga
AAB,16,1076.35,113337.29000000001,17288.489999999998,6410.71,2503.7200000000003,825,449,346,30,6f0a86b1-16b4-4356-bf5c-facbacbc46a5,AAB - AGF : 2024-8-23,2024,Superliga
AGF,16,1076.3333333333333,113396.78,16522.56,6452.72,1993.68,724,352,338,34,6f0a86b1-16b4-4356-bf5c-facbacbc46a5,AAB - AGF : 2024-8-23,2024,Superliga
FCM,16,1090.4,114024.13,17087.44,7638.59,3027.49,914,510,362,42,cf7abd3f-3fc9-4d48-afb9-d0a50e06a7d8,FCM - SJE : 2024-8-24,2024,Superliga
SJE,16,1090.4666666666667,115978.98,18786.0,7714.47,3083.89,946,475,427,44,cf7abd3f-3fc9-4d48-afb9-d0a50e06a7d8,FCM - SJE : 2024-8-24,2024,Superliga
SIF,15,1068.8,115796.57,14888.6,5407.17,1719.2,685,321,358,6,9aaa0c10-ee3b-4bfc-a6ba-e327ef6edb21,VB - SIF : 2024-8-25,2024,Superliga
VB,16,1068.75,109536.06,14501.89,5829.25,1832.72,716,421,286,9,9aaa0c10-ee3b-4bfc-a6ba-e327ef6edb21,VB - SIF : 2024-8-25,2024,Superliga
