team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,Distance_per90,Distance_per_player,Running_per90,Running_per_player,High Speed Running_per90,High Speed Running_per_player,Sprinting_per90,Sprinting_per_player,No. of High Intensity Runs_per90,No. of High Intensity Runs_per_player,No. of High Intensity Runs OTIP_per90,No. of High Intensity Runs OTIP_per_player,No. of High Intensity Runs TIP_per90,No. of High Intensity Runs TIP_per_player,No. of High Intensity Runs BOP_per90,No. of High Intensity Runs BOP_per_player,game_id,match_description
HBK,11,939.45,97233.52,13690.26,5216.12,1977.58,745,420,275,50,9315.04263132684,8839.41090909091,1311.5369631167173,1244.5690909090908,499.70812709564103,474.19272727272727,189.4536164777263,179.78,71.37154718186171,67.72727272727273,40.236308478365,38.18181818181818,26.345201979881843,25.0,4.790036723614881,4.545454545454546,48874e9f-62ea-47c1-ae00-de7e40667409,HBK - HIK : 2025-7-18
HIK,11,984.0,104606.3,14933.43,5233.89,1742.71,725,415,272,38,9567.649390243903,9509.663636363637,1365.8625,1357.5845454545454,478.70945121951223,475.8081818181818,159.39420731707315,158.42818181818183,66.3109756097561,65.9090909090909,37.957317073170735,37.72727272727273,24.878048780487806,24.727272727272727,3.475609756097561,3.4545454545454546,48874e9f-62ea-47c1-ae00-de7e40667409,HBK - HIK : 2025-7-18
B93,9,808.3333333333334,85286.34,13397.27,5179.01,2334.82,742,404,296,42,9495.79868041237,9476.26,1491.6548041237113,1488.5855555555556,576.6320412371134,575.4455555555555,259.9593402061856,259.4244444444445,82.61443298969071,82.44444444444444,44.98144329896907,44.888888888888886,32.95670103092783,32.888888888888886,4.676288659793814,4.666666666666667,a9e0dd72-06b7-47d3-ab11-f2153c9720e7,HVI - B93 : 2025-7-18
HVI,9,817.5166666666667,83773.65,12546.53,5315.72,2334.41,759,419,303,37,9222.599131516177,9308.183333333332,1381.2411979368412,1394.058888888889,585.2049499500521,590.6355555555556,256.99402662534914,259.37888888888887,83.55792950194696,84.33333333333333,46.12749994903264,46.55555555555556,33.35711810156776,33.666666666666664,4.073311451346558,4.111111111111111,a9e0dd72-06b7-47d3-ab11-f2153c9720e7,HVI - B93 : 2025-7-18
HIL,11,970.0666666666667,102081.14,14034.52,4883.9,1604.45,671,352,283,36,9470.795065631228,9280.103636363636,1302.0824685588618,1275.8654545454547,453.1142189540237,443.99090909090904,148.85626417428355,145.85909090909092,62.253453370902335,61.0,32.657549309325816,32.0,26.2559274276682,25.727272727272727,3.339976633908322,3.272727272727273,0b6c3865-f705-4818-ac4f-4adbb3a1afce,HIL - MID : 2025-7-19
MID,11,991.3,99392.56,12877.36,4465.17,1253.24,580,300,254,26,9023.837788762232,9035.687272727273,1169.1338646222134,1170.669090909091,405.392212246545,405.92454545454547,113.78149904166247,113.9309090909091,52.65812569353375,52.72727272727273,27.236961565620902,27.272727272727273,23.060627458892366,23.09090909090909,2.3605366690204783,2.3636363636363638,0b6c3865-f705-4818-ac4f-4adbb3a1afce,HIL - MID : 2025-7-19
AAB,11,978.0666666666667,104319.84,17058.16,7488.46,3265.23,1065,582,433,50,9599.33092495399,9483.621818181819,1569.662327039738,1550.7418181818182,689.0751141708132,680.7690909090909,300.4608070342853,296.8390909090909,97.99945470656397,96.81818181818181,53.55463158612228,52.90909090909091,39.84390975393633,39.36363636363637,4.600913366505351,4.545454545454546,7560bd37-5707-425d-b94f-1aaaad984edf,KIF - AAB : 2025-7-19
KIF,9,849.1,94989.17,16249.6,7072.0,3682.2200000000003,1165,565,512,88,10068.337416087621,10554.352222222222,1722.369567777647,1805.5111111111112,749.5936874337533,785.7777777777778,390.29537156989755,409.1355555555556,123.48368861147097,129.44444444444446,59.886939112000945,62.77777777777778,54.269226239547756,56.888888888888886,9.327523259922271,9.777777777777779,7560bd37-5707-425d-b94f-1aaaad984edf,KIF - AAB : 2025-7-19
ACH,11,977.9166666666666,97676.88,13717.54,5250.43,1592.32,654,365,256,33,8989.435909671922,8879.716363636364,1262.4578781423095,1247.049090909091,483.20957818491695,477.3118181818182,146.5450021303792,144.75636363636363,60.189177673625906,59.45454545454545,33.591819343843206,33.18181818181818,23.56028973157222,23.272727272727273,3.0370685982104813,3.0,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH - ARF : 2025-7-19
ARF,10,906.85,89287.98,11942.4,5013.34,1805.57,665,350,288,27,8861.353255775486,8928.797999999999,1185.2191652423223,1194.24,497.5471136351106,501.334,179.19314109279372,180.557,65.99768429177924,66.5,34.73562331146276,35.0,28.58245575343221,28.8,2.6796052268842696,2.7,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH - ARF : 2025-7-19
EFB,9,808.6333333333333,87838.1,13423.880000000001,5777.84,2659.99,762,421,312,29,9776.283853415227,9759.78888888889,1494.063069376314,1491.5422222222223,643.0672327795869,641.9822222222223,296.0539593552908,295.5544444444444,84.80976132569356,84.66666666666667,46.856836637948795,46.77777777777778,34.72525660579579,34.666666666666664,3.2276680819489676,3.2222222222222223,66070e76-2442-4491-a5e1-af38e3d46ece,EFB - LBK : 2025-7-20
LBK,11,948.0666666666667,106887.97,16906.83,7352.29,3785.54,1109,573,478,58,10146.878524716967,9717.088181818182,1604.9659306659166,1536.9845454545457,697.9531326910906,668.39,359.3614373110189,344.14,105.27740665213418,100.81818181818181,54.39490893748681,52.09090909090909,45.37655579776387,43.45454545454545,5.505941916883482,5.2727272727272725,66070e76-2442-4491-a5e1-af38e3d46ece,EFB - LBK : 2025-7-20
ARF,11,969.5833333333334,106038.73,15714.27,6522.27,2872.82,927,469,411,47,9842.873089815212,9639.884545454544,1458.6516201117317,1428.57,605.419131929523,592.9336363636364,266.66485603781695,261.16545454545457,86.04727116458959,84.27272727272727,43.534164159862485,42.63636363636363,38.15040825096691,37.36363636363637,4.362698753760206,4.2727272727272725,304f69f1-c1db-43ba-874d-529cdb7c517a,HBK - ARF : 2025-7-25
HBK,9,823.2666666666667,85851.01,12405.400000000001,5231.56,1751.35,677,421,206,50,9385.283302291684,9539.00111111111,1356.165681431695,1378.377777777778,571.9172402623695,581.2844444444445,191.4586201311847,194.59444444444443,74.0100412988906,75.22222222222223,46.02396955219046,46.77777777777778,22.52004210867277,22.88888888888889,5.46602963802737,5.555555555555555,304f69f1-c1db-43ba-874d-529cdb7c517a,HBK - ARF : 2025-7-25
ACH,11,1029.6,107765.03,17130.41,7570.8099999999995,2577.56,911,537,324,50,9420.020104895106,9796.82090909091,1497.4134615384617,1557.31,661.7840909090909,688.2554545454545,225.31118881118886,234.32363636363635,79.63286713286715,82.81818181818181,46.94055944055945,48.81818181818182,28.321678321678323,29.454545454545453,4.370629370629371,4.545454545454546,124da622-4c6a-4070-9c95-0dfe192e02e9,ACH - KIF : 2025-7-25
KIF,11,1068.2833333333333,115912.53,20289.809999999998,8002.26,2979.75,1008,457,495,56,9765.31915690282,10537.502727272727,1709.361967018737,1844.5281818181816,674.1689002605426,727.4781818181818,251.03592991871696,270.8863636363636,84.9212911680734,91.63636363636364,38.501021888699945,41.54545454545455,41.702419770036045,45.0,4.717849509337411,5.090909090909091,124da622-4c6a-4070-9c95-0dfe192e02e9,ACH - KIF : 2025-7-25
B93,10,872.4166666666666,94436.43,14704.98,6322.88,2659.33,890,476,371,43,9742.224128379024,9443.643,1516.9909637978797,1470.498,652.2791479606457,632.288,274.3410449899704,265.933,91.81392683159805,89.0,49.10497659757379,47.6,38.272996465756044,37.1,4.435953768268221,4.3,8595877b-b9f9-45f5-bcad-5fa669121c8c,LBK - B93 : 2025-7-25
LBK,10,924.45,101965.04999999999,16324.630000000001,7364.21,3063.31,1064,553,437,74,9926.826220996267,10196.505,1589.2873600519226,1632.4630000000002,716.9440207691059,736.421,298.2291092000649,306.331,103.58591595002434,106.4,53.837416842446856,55.3,42.54421547947428,43.7,7.204283628103196,7.4,8595877b-b9f9-45f5-bcad-5fa669121c8c,LBK - B93 : 2025-7-25
AAB,8,761.5,80931.43000000001,12600.1,4795.39,1808.73,652,367,255,30,9565.106631648065,10116.428750000001,1489.177938279711,1575.0125,566.7565331582404,599.42375,213.76979645436637,226.09125,77.05843729481286,81.5,43.374917925147734,45.875,30.137885751805648,31.875,3.5456336178594876,3.75,13862721-b499-405f-a22b-a381b9a9b068,HIL - AAB : 2025-7-26
HIL,11,902.9833333333333,99348.19,15572.3,5673.15,1794.77,746,365,347,34,9901.995717898079,9031.653636363637,1552.0851252330237,1415.6636363636362,565.4406688938518,515.7409090909091,178.88403255874047,163.1609090909091,74.35353181121836,67.81818181818181,36.3794089961055,33.18181818181818,34.585355949722214,31.545454545454547,3.3887668653906498,3.090909090909091,13862721-b499-405f-a22b-a381b9a9b068,HIL - AAB : 2025-7-26
EFB,9,849.9166666666666,87724.64,12550.46,5234.81,2428.07,677,347,306,24,9289.402019805864,9747.182222222222,1329.0025296597705,1394.4955555555555,554.3283459162664,581.6455555555556,257.11497205608396,269.78555555555556,71.68938131189333,75.22222222222223,36.74477889989215,38.55555555555556,32.403176782037455,34.0,2.541425629963722,2.6666666666666665,da6f5103-d7af-4c33-b137-85590bf9fca0,EFB - HVI : 2025-7-26
HVI,11,932.6333333333333,97104.37,13535.619999999999,5840.14,2418.34,775,424,324,27,9370.663676328675,8827.67,1306.2001501125842,1230.510909090909,563.5790414239251,530.9218181818183,233.3721005039494,219.84909090909093,74.78823403266736,70.45454545454545,40.91640158690446,38.54545454545455,31.2663068730119,29.454545454545453,2.6055255727509916,2.4545454545454546,da6f5103-d7af-4c33-b137-85590bf9fca0,EFB - HVI : 2025-7-26
HIK,10,921.95,96266.13,12645.16,4798.88,1731.57,646,309,309,28,9397.420359021638,9626.613000000001,1234.4101090080808,1264.516,468.462714897771,479.88800000000003,169.03443787624056,173.15699999999998,63.06198817723304,64.6,30.164325614187316,30.9,30.164325614187316,30.9,2.7333369488583976,2.8,ea0f2f9d-8c0d-4a27-965a-44c6cb3ff780,HIK - MID : 2025-7-27
MID,11,978.6166666666667,103689.52,14400.21,5506.76,1734.7,726,406,290,30,9535.967573275202,9426.32,1324.3376534904712,1309.11,506.4377267230956,500.61454545454546,159.53437675630568,157.70000000000002,66.76771633428139,66.0,37.33841987839978,36.90909090909091,26.6702999131427,26.363636363636363,2.7589965427389003,2.727272727272727,ea0f2f9d-8c0d-4a27-965a-44c6cb3ff780,HIK - MID : 2025-7-27
HBK,11,1027.2,107885.05,17338.63,8410.87,4149.92,1304,783,465,56,9452.545268691589,9807.73181818182,1519.1556658878505,1576.239090909091,736.933703271028,764.6245454545456,363.60280373831773,377.26545454545453,114.25233644859813,118.54545454545455,68.60397196261682,71.18181818181819,40.74182242990654,42.27272727272727,4.906542056074766,5.090909090909091,16885bd8-5f37-4526-adf9-f691bc5c2474,KIF - HBK : 2025-8-1
KIF,10,893.9166666666666,104675.70999999999,19645.71,9171.699999999999,3627.14,1326,643,617,66,10538.805518784375,10467.571,1977.940412044374,1964.571,923.4115782604641,917.1699999999998,365.1823622634474,362.714,133.50237717908084,132.6,64.73757807401884,64.3,62.11988440384078,61.7,6.644914701221217,6.6,16885bd8-5f37-4526-adf9-f691bc5c2474,KIF - HBK : 2025-8-1
B93,11,985.8,113122.11,19937.309999999998,8324.57,3522.71,1243,578,619,46,10327.642422398054,10283.828181818182,1820.204808277541,1812.482727272727,760.0033475349969,756.7790909090909,321.6107729762629,320.24636363636364,113.48143639683506,113.0,52.76932440657334,52.54545454545455,56.51247717589775,56.27272727272727,4.199634814363969,4.181818181818182,8e5b1936-220e-40e1-b850-4c5d82f5a0cd,B93 - HIL : 2025-8-1
HIL,10,907.1166666666667,101959.35,17110.04,6742.110000000001,2747.0,1002,635,324,43,10115.94410862256,10195.935000000001,1697.580539070682,1711.0040000000001,668.9215646645966,674.211,272.5448766237345,274.7,99.41389383945469,100.2,63.001818950153414,63.5,32.14580998401529,32.4,4.266264905285979,4.3,8e5b1936-220e-40e1-b850-4c5d82f5a0cd,B93 - HIL : 2025-8-1
AAB,11,995.2666666666667,108803.84,17765.23,7280.53,2740.82,1004,555,415,34,9838.916471297474,9891.25818181818,1606.4746801527228,1615.020909090909,658.3639560586777,661.8663636363636,247.84694219304708,249.16545454545457,90.78973809364324,91.27272727272727,50.1875544242749,50.45454545454545,37.52763078571907,37.72727272727273,3.074552883649273,3.090909090909091,e434c3e2-4232-47ba-a5a3-cfbb5eb8e9c8,AAB - HIK : 2025-8-1
HIK,11,1019.7166666666667,111971.43,16543.7,6568.6900000000005,2468.09,893,484,377,32,9882.577219162185,10179.22090909091,1460.143830802674,1503.9727272727273,579.751336155468,597.1536363636365,217.83315626889822,224.37181818181818,78.8160109834431,81.18181818181819,42.717748394161774,44.0,33.27394864586568,34.27272727272727,2.8243139434156546,2.909090909090909,e434c3e2-4232-47ba-a5a3-cfbb5eb8e9c8,AAB - HIK : 2025-8-1
ARF,11,936.6,100445.35,15082.46,6562.5599999999995,3332.48,1037,462,510,65,9652.019538757208,9131.395454545454,1449.3074951953874,1371.1327272727272,630.6111467008328,596.5963636363635,320.22549647661754,302.95272727272726,99.64766175528509,94.27272727272727,44.39461883408072,42.0,49.0070467648943,46.36363636363637,6.245996156310058,5.909090909090909,accbac6e-a7c6-4dfe-9794-8edd80ef5752,ARF - LBK : 2025-8-2
LBK,9,827.9166666666666,93512.89,16167.369999999999,6668.82,2530.14,977,586,319,72,10165.467659788626,10390.32111111111,1757.4997081026672,1796.3744444444444,724.9447005535984,740.98,275.0428988424761,281.12666666666667,106.20634121791646,108.55555555555556,63.702063412179164,65.11111111111111,34.67740312028183,35.44444444444444,7.826874685455461,8.0,accbac6e-a7c6-4dfe-9794-8edd80ef5752,ARF - LBK : 2025-8-2
EFB,9,822.3666666666667,94440.64,15887.189999999999,6911.83,3392.26,1043,493,504,46,10335.60569089214,10493.404444444444,1738.6977828219365,1765.243333333333,756.4322889222163,767.9811111111111,371.2497263994164,376.9177777777778,114.1461635118155,115.88888888888889,53.95403510194155,54.77777777777778,55.15787767013903,56.0,5.034250739734912,5.111111111111111,e5dadbd3-a053-4fa0-a74e-18a104c61923,MID - EFB : 2025-8-2
