Team,High Speed Running Count,High Speed Running Distance,Sprinting Count,Sprinting Distance,Total Distance,Rank_High Speed Running Count,Rank_High Speed Running Distance,Rank_Sprinting Count,Rank_Sprinting Distance,Rank_Total Distance
AC Horsens,508,4973.63,90,1412.95,111358.01,11,10,12,12,8
Boldklubben af 1893,687,5816.46,143,1895.56,112663.89,7,8,8,9,6
Esbjerg fB,1203,10290.97,335,5559.28,125898.72,1,1,1,1,2
FC Fredericia,743,6533.73,161,2248.0,114877.99,6,6,6,6,5
HB Koge,518,4697.85,98,1422.22,102184.3,10,11,10,11,12
Hillerod Fodbold,498,4331.28,96,1462.65,110559.48,12,12,11,10,9
Hobro IK,1188,9842.75,334,5470.08,127472.51,2,2,2,2,1
Hvidovre IF,679,5685.92,149,1924.38,105700.73,8,9,7,8,11
Kolding IF,816,6623.38,200,2469.0,111594.96,5,5,5,5,7
Odense Boldklub,649,5973.64,139,1958.56,110303.58,9,7,9,7,10
Roskilde,1069,8360.33,292,3858.85,118587.16,3,3,3,3,4
Vendsyssel FF,946,7988.51,241,3421.15,119429.03,4,4,4,4,3
